Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
5,Al2Ge2O7,Al2Ge2O7_Va_O1,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.8875366666666669,-1.193829,12.641344,1.2399253377899504,0.8248410295275174,2.406341895839076,3.458433333333333,2.216851,3.44,-1.90103,-1.2368880000000004,1.61,3.103427181710611,0.0,0.0,0.3821967891620815,5.416601799999976,0.0,0.0,0.2423044291811672,0.3754987816567512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Al2Ge2O7,Al2Ge2O7_Va_O2,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.90103,-1.2368370000000004,12.960881,1.2735835225103402,0.8429595564578923,2.3974576458626684,3.458433333333333,2.216851,3.44,-1.8875366666666669,-1.1942149999999998,1.61,3.101687405729366,0.0,0.0,0.37672783681692,5.411478320000137,0.0,0.0,0.2451142612192609,0.3781579019638191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Al2Ge2O7,Al2Ge2O7_Va_O3,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.73212,-1.1317709999999996,15.599957,0.7798758860914605,0.4750407924435068,2.72604428315262,3.458433333333333,2.216959,3.44,-1.7285700000000002,-1.207008,2.01,2.596100957120228,0.0,0.0,0.5069556605513958,3.8145812599999633,0.0,0.0,0.4707885608589151,0.0222557785896891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al2Ge2O7,Al2Ge2O7_Va_O4,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.7285700000000002,-1.206664,15.425847,0.760271318035256,0.5005306876201228,2.6131783167219456,3.458433333333333,2.216851,3.44,-1.73212,-1.207008,1.61,2.043769290199058,0.0,0.0,0.4875975437453005,4.388867460000151,0.0,0.0,0.2771870291701144,0.2352154270845852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Al2O3,Al2O3_Va_O1,3.2576206666666665,6.876356,6.039299999999999,0.0,0.0,0.1046163715744507,0.8953836284255493,-3.426551008000001,0.0,0.0,0.993313996991424,0.0066860030085758,-1.9625033333333333,-1.3659939999999997,10.579149,1.2952080860693655,0.9098292201933088,2.224895215865955,2.94375,2.072967,3.44,-1.9625033333333333,-1.3898070000000002,1.61,2.497321494687122,0.0,0.0,0.3360083146808497,7.69421869999986,0.0,0.0,0.0,0.6639916853191504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Al2PbO4,Al2PbO4_Va_O1,3.708021,14.354939333333334,3.8921,0.0319259803237403,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.0049845797924228,0.0,0.8477991894298239,0.1472162307777531,-2.1016266666666668,-1.658455,17.13908,1.4944255081072977,1.161585329767756,2.273300437305284,3.0406766666666667,2.431176,2.33,2.5935433333333333,1.593362,1.61,2.391473835296565,0.0,0.0,0.2618216608453977,6.395135430000105,0.0,0.0,0.0,0.4823911197682053,0.255787219386397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Al2PbO4,Al2PbO4_Va_O2,3.708021,14.354939333333334,3.8921,0.0319259803237403,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.0049845797924228,0.0,0.8477991894298239,0.1472162307777531,-2.049193333333333,-1.5636150000000004,17.407756,1.5306141756338267,1.1823405737171586,2.2577006846753074,3.0406766666666667,2.431108,3.44,-2.03847,-1.639443,1.61,2.127479261236284,0.0,0.0,0.2532265454771912,6.474721879999729,0.0,0.0,0.0,0.4908066400060766,0.2559668145167321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Al2PbO4,Al2PbO4_Va_O3,3.708021,14.354939333333334,3.8921,0.0319259803237403,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.0049845797924228,0.0,0.8477991894298239,0.1472162307777531,-2.03847,-1.639443,17.674985,1.4347926158008484,1.1369087586683448,2.271189956610316,3.0406766666666667,2.431108,3.44,-2.049193333333333,-1.5636150000000004,1.61,2.347759040850545,0.0,0.0,0.2708367931656517,6.624809989999799,0.0,0.0,0.0,0.4992206719493859,0.2299425348849624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Al2ZnO4,Al2ZnO4_Va_O1,3.365741,5.302893,4.4462,0.0,0.0,0.1640679780733288,0.8359320219266716,-3.021072628571428,0.1000132654785172,0.0,0.8967123907797427,0.0032743437417401,-1.94414,-1.2463680000000004,10.978704,1.4015334006426148,0.8650482418892395,2.1027476221326715,2.85495,1.862317,1.65,2.06666,1.1493070000000003,1.61,2.56964689805674,0.0,0.0,0.2641048168338948,6.6551131699997175,0.0,0.0,0.0,0.4999999999999999,0.0,0.2358951831661052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Al4Bi2O9,Al4Bi2O9_Va_O1,4.355632666666667,9.627726,2.6141999999999994,0.0584356369465538,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.0088734408304733,0.0,0.929458836385299,0.0616677227842271,-2.368586666666667,-1.591456,13.607511,1.457014848634341,0.9598878293537948,2.3848563900027937,4.146556666666666,2.486142,2.02,2.8797433333333333,2.173593,1.61,2.762991498625833,0.2994450602809672,0.0,0.3563300083538784,5.484838260000183,0.0,0.0,0.0,0.3442249313651545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
