Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
4,AgAuO2,AgAuO2_Va_O1,10.273909666666666,3.2848563333333334,0.5217,0.546481859071204,0.0,0.3777711657548637,0.0757469751739323,-0.4721402929166656,0.5440348024077697,0.0,0.3628978134844123,0.093067384107818,-1.465393333333333,-0.9331630000000004,11.543672,0.9972798594459378,0.6375096744217007,2.4581031543059733,1.8429633333333333,1.2161910000000002,3.44,-1.465393333333333,-0.9316440000000004,1.93,4.16347088489565,0.0,0.3825662373205904,0.1682983989683702,2.31297225999999,0.0,0.4491353637110393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AsAuO4,AsAuO4_Va_O1,4.259445666666667,2.0110473333333334,1.9049,0.4913433470728428,0.0,0.4496700337559501,0.0589866191712071,-1.1668046675,0.3399873611216076,0.0,0.6552541790049369,0.0047584598734555,-1.5707266666666666,-0.9913499999999996,17.385725,0.7257628409284507,0.4651387775978381,2.913885264883289,4.080376666666667,2.600794,3.44,-1.5707266666666666,-1.0227019999999998,2.18,3.4101676826540146,0.0,0.0,0.5193193548191102,2.488689330000065,0.0,0.2209524383644724,0.0,0.0,0.0,0.0,0.2597282068164173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,AsAuO4,AsAuO4_Va_O2,4.259445666666667,2.0110473333333334,1.9049,0.4913433470728428,0.0,0.4496700337559501,0.0589866191712071,-1.1668046675,0.3399873611216076,0.0,0.6552541790049369,0.0047584598734555,-1.5185266666666666,-1.0227019999999998,17.312763,0.8178586887499926,0.5423833711920963,2.886114735116711,4.080376666666667,2.600794,3.44,-1.5707266666666666,-1.0222420000000003,2.18,3.467835695904516,0.0,0.0,0.4806806451808897,2.341658319999974,0.0,0.2790475616355274,0.0,0.0,0.0,0.0,0.2402717931835828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Au2O3,Au2O3_Va_O1,9.075532,0.9661006666666668,0.9179000000000004,0.5222304698812552,0.0,0.4096156522160378,0.068153877902707,-0.457853579,0.3690890968338984,0.0,0.6144400131130063,0.0164708900530952,-1.1397166666666667,-0.4987560000000002,12.875959,0.6438390134021916,0.5577825430635046,2.8836218903651964,1.80319,1.6339229999999991,3.44,-1.2333333333333334,-1.2493999999999996,2.54,3.139920156546779,0.0,0.0,0.3818021004057739,1.4102764599999862,0.0,0.6181978995942262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Au2O3,Au2O3_Va_O2,9.075532,0.9661006666666668,0.9179000000000004,0.5222304698812552,0.0,0.4096156522160378,0.068153877902707,-0.457853579,0.3690890968338984,0.0,0.6144400131130063,0.0164708900530952,-1.2333333333333334,-0.9340859999999996,12.386675,0.8313502910837324,0.7301834494226018,2.833342091671556,1.80319,1.6339229999999991,3.44,-1.1397166666666667,-1.1214050000000002,2.54,4.07152713522703,0.0,0.0,0.32593565741284,3.179896900000026,0.0,0.6740643425871602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Ba(AuO2)2,Ba(AuO2)2_Va_O1,6.319468,4.0122496666666665,1.4849,0.5352093056954563,0.0,0.4164650946878348,0.0483255996167087,-1.4456374999999992,0.3959646930327876,0.0,0.5985899029108049,0.0054454040564074,-1.59536,-0.0284950000000003,12.030294,1.036080352270062,0.2759800450086204,2.395764353950055,2.871593333333333,3.308345,2.54,1.7549266666666667,-1.1996490000000009,0.89,3.14301131835771,0.0,0.0,0.2978482420398051,2.9456695000002444,0.0,0.4522735374233647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2498782205368302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Ba4AgAuO6,Ba4AgAuO6_Va_O1,5.568563666666667,10.956746,1.8772999999999995,0.4997600047798876,0.0,0.4594851941476121,0.0407548010725001,-2.1976280747222225,0.3287960676776945,0.0,0.6263465696588386,0.0448573626634671,-2.3668533333333333,-1.544645,19.28882,1.6644619983371796,1.0961806988974043,1.4446001718076114,2.82936,1.850102,1.93,0.603,0.4575030000000009,0.89,1.733431424900794,0.0,0.2061506533102658,0.1334131342607588,4.510897180000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604362124289754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Ba4AgAuO6,Ba4AgAuO6_Va_O2,5.568563666666667,10.956746,1.8772999999999995,0.4997600047798876,0.0,0.4594851941476121,0.0407548010725001,-2.1976280747222225,0.3287960676776945,0.0,0.6263465696588386,0.0448573626634671,-2.10289,-1.5325300000000004,19.032604,1.7196624577501876,1.1752189353847584,1.6205498010718116,2.82936,1.850102,2.54,1.3816433333333336,1.273282,0.89,2.4162050445527345,0.0,0.0004352790644933,0.1584562385124118,3.381531709999999,0.0,0.1975961834170232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435122990060717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Ba4AgAuO6,Ba4AgAuO6_Va_O3,5.568563666666667,10.956746,1.8772999999999995,0.4997600047798876,0.0,0.4594851941476121,0.0407548010725001,-2.1976280747222225,0.3287960676776945,0.0,0.6263465696588386,0.0448573626634671,-2.0772133333333334,-1.415178,14.449928,1.405423705025962,0.9828913320256828,1.7735540606275757,2.82936,1.850102,2.54,0.603,0.4575030000000009,0.89,2.4762636211636244,0.0,0.1464613795951504,0.1566601927556941,3.0807796500000766,0.0,0.2010610511039994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4958173765451561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,Ca(AuO2)2,Ca(AuO2)2_Va_O1,6.629420333333333,4.258340333333334,1.6917,0.5308581002179683,0.0,0.4205287782322529,0.0486131215497787,-1.4662160107142856,0.451695424126345,0.0,0.5213762470918207,0.0269283287818343,-1.5894966666666666,0.5505329999999997,9.802178,0.9767731450183074,0.0513154918509368,2.4364562280935087,2.6662033333333333,2.070956,2.54,1.8458933333333327,-1.0513960000000004,1.0,3.0030320025698707,0.0,0.0,0.3126787767840112,2.803708599999945,0.0,0.4373506576237148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249970565592274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
