Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
49,Ba(AgO)2,Ba(AgO)2_Va_O1,6.113091333333333,10.979407666666669,1.8270000000000004,0.41971359502325,0.0,0.3530224884207317,0.2272639165560182,-1.4029555216666667,0.5492977619279366,0.0,0.3154866855728565,0.1352155524992072,-2.1903400000000004,-1.528042,16.086178,1.5875877345775802,1.188164515278023,1.5291540122846556,3.0249466666666667,2.891086,1.93,0.6778666666666666,0.0352230000000002,0.89,2.7152767282556374,0.0,0.591446865884147,0.0094310869667227,3.4173026699999784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3991220471491301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Ba(AsO3)2,Ba(AsO3)2_Va_O1,3.480794,8.742874,2.8694,0.0333897822830346,0.0,0.4724656113122536,0.4941446064047116,-2.1914320077777782,0.0219941026736907,0.0,0.9744394840808877,0.0035664132454215,-1.7660166666666666,-1.1152240000000004,15.507897,0.8825806946688499,0.5158059039580366,2.663833653764642,4.139066666666666,2.478257,3.44,-1.7660166666666666,-1.143529,0.89,2.9647492210345696,0.0,0.0,0.5217844014439835,3.8743983700000033,0.0,0.0,0.0,0.0,0.0,0.0,0.3436305659554137,0.0,0.0,0.0,0.0,0.0,0.1345850326006027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Ba(AsO3)2,Ba(AsO3)2_Va_O2,3.480794,8.742874,2.8694,0.0333897822830346,0.0,0.4724656113122536,0.4941446064047116,-2.1914320077777782,0.0219941026736907,0.0,0.9744394840808877,0.0035664132454215,-1.7606266666666668,-1.143529,15.368325,0.9712487362606228,0.6302890611135901,2.5819066683094225,4.139066666666666,2.478257,3.44,-1.7660166666666666,-1.1152240000000004,0.89,3.220476701785266,0.0,0.0,0.4806659548941078,3.3655109400000445,0.0,0.0,0.0,0.0,0.0,0.0,0.3614019250615869,0.0,0.0,0.0,0.0,0.0,0.1579321200443053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Ba(AsO3)2,Ba(AsO3)2_Va_O3,3.480794,8.742874,2.8694,0.0333897822830346,0.0,0.4724656113122536,0.4941446064047116,-2.1914320077777782,0.0219941026736907,0.0,0.9744394840808877,0.0035664132454215,-1.7019466666666665,-1.094093,14.915063,0.7602026975701544,0.5304455818571463,2.539259677925937,3.4915033333333336,2.344042,3.44,-1.7019466666666665,-1.0940950000000005,0.89,2.3326627298253007,0.0,0.0,0.4975496436619095,2.342973850000257,0.0,0.0,0.0,0.0,0.0,0.0,0.2949675089829987,0.0,0.0,0.0,0.0,0.0,0.2074828473550918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Ba(AuO2)2,Ba(AuO2)2_Va_O1,6.319468,4.0122496666666665,1.4849,0.5352093056954563,0.0,0.4164650946878348,0.0483255996167087,-1.4456374999999992,0.3959646930327876,0.0,0.5985899029108049,0.0054454040564074,-1.59536,-0.0284950000000003,12.030294,1.036080352270062,0.2759800450086204,2.395764353950055,2.871593333333333,3.308345,2.54,1.7549266666666667,-1.1996490000000009,0.89,3.14301131835771,0.0,0.0,0.2978482420398051,2.9456695000002444,0.0,0.4522735374233647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2498782205368302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Ba(CuO)2,Ba(CuO)2_Va_O1,5.409474666666667,8.590298333333333,1.8068000000000004,0.6690642763208131,0.0,0.2620808427928312,0.0688548808863557,-1.6165894720000002,0.6386939101860586,0.0,0.2430537759222547,0.1182523138916865,-2.0043900000000003,-1.1416839999999997,13.437763,1.4562540086221063,0.8018038496704745,1.518007030305478,3.0004633333333337,1.3815220000000004,1.9,0.5041633333333334,0.4467660000000002,0.89,3.1514116995661645,0.0,0.0,0.0061362310335004,4.776888760000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606296674425794,0.0,0.0,0.0,0.0,0.3875670945407057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Ba(SbO3)2,Ba(SbO3)2_Va_O1,3.464451,6.120894333333333,2.9956,0.0113134735152632,0.0,0.4400048631965539,0.5486816632881827,-2.376871872222223,0.0242086304519154,0.0,0.9714231060016332,0.0043682635464516,-1.8801933333333327,-1.301164,17.277981,0.9400977777777768,0.6470563167506969,2.5516666666666667,4.21356,2.986259,3.44,-1.8801933333333327,-1.301012,0.89,1.939533526774728,0.0,0.0,0.5000000000000001,4.173887470000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Ba2Bi2O5,Ba2Bi2O5_Va_O1,5.367346666666667,27.910746333333336,1.8273,0.1713759940330308,0.0,0.7261211180861242,0.1025028878808448,-2.288426511111112,0.0417034512347659,0.0,0.8517809850592386,0.1065155637059951,-2.6305333333333336,-1.276707,15.856403,1.476942388026423,0.7558406690851116,2.062504975269688,3.605866666666667,1.7550279999999994,3.44,-2.6305333333333336,-1.300605,0.89,2.40781201144093,0.3530267054295636,0.0,0.3033665875036397,3.96834423000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3436067070667966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Ba2Bi2O5,Ba2Bi2O5_Va_O2,5.367346666666667,27.910746333333336,1.8273,0.1713759940330308,0.0,0.7261211180861242,0.1025028878808448,-2.288426511111112,0.0417034512347659,0.0,0.8517809850592386,0.1065155637059951,-2.382756666666667,-1.312703,18.183522,1.662149569961195,0.9329934595769288,1.8107787739008248,3.605866666666667,1.7550279999999994,2.02,2.8222633333333333,1.576247,0.89,2.100563563987341,0.2552035198497225,0.0,0.2479995280277011,4.326563000000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4967969521225763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Ba2Bi2O5,Ba2Bi2O5_Va_O3,5.367346666666667,27.910746333333336,1.8273,0.1713759940330308,0.0,0.7261211180861242,0.1025028878808448,-2.288426511111112,0.0417034512347659,0.0,0.8517809850592386,0.1065155637059951,-2.8296833333333336,-1.5082079999999998,18.961083,2.078261556981369,0.996892549818349,2.059103547200948,3.605866666666667,1.7550279999999994,2.02,2.8222633333333333,1.575996,0.89,1.833463230597384,0.5392761272780611,0.0,0.2194986366183288,4.561079060000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24122523610361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
