Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
407,Cs2Al2As2O7,Cs2Al2As2O7_Va_O1,2.977689,4.170983666666666,3.5767,0.1676036052961071,0.0,0.6655656783861783,0.1668307163177149,-2.50447628698939,0.0125256122136051,0.0,0.8629283502857955,0.1245460375005992,-1.7909533333333332,-1.7963699999999996,22.142768,1.1335773172872263,0.8247791046363803,1.9824255200641765,2.739176666666667,2.055552,3.44,-1.7909533333333332,-1.1553370000000005,0.79,3.089726246085508,0.0,0.0,0.2448151390875818,5.426251129999978,0.0,0.0,0.0,0.2431674636350543,0.0,0.0,0.2476748786340573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643425186433065,0.0,0.0,0.0
408,Cs2Al2As2O7,Cs2Al2As2O7_Va_O2,2.977689,4.170983666666666,3.5767,0.1676036052961071,0.0,0.6655656783861783,0.1668307163177149,-2.50447628698939,0.0125256122136051,0.0,0.8629283502857955,0.1245460375005992,-1.88596,-1.039162,16.390544,1.794817847176875,1.262546437424063,1.7799465903286285,2.739176666666667,2.159968,1.61,1.3405933333333333,0.2516449999999999,0.79,2.365795355247751,0.0,0.0,0.1295697943624262,6.525579730000013,0.0,0.0,0.0,0.5103137447580535,0.0,0.0,0.1641218450119387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959946158675813,0.0,0.0,0.0
409,Cs2Al2As2O7,Cs2Al2As2O7_Va_O3,2.977689,4.170983666666666,3.5767,0.1676036052961071,0.0,0.6655656783861783,0.1668307163177149,-2.50447628698939,0.0125256122136051,0.0,0.8629283502857955,0.1245460375005992,-1.7886166666666667,-0.90259,13.177787,0.8769815741855468,0.7030270958332274,2.171134085728217,2.739176666666667,2.159968,3.44,-1.7886166666666667,-0.7398999999999996,0.79,3.003992722588141,0.0,0.0,0.3228359411319647,5.240528469999967,0.0,0.0,0.0,0.2418552541933133,0.0,0.0,0.2354658512877649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998429533869569,0.0,0.0,0.0
410,Cs2Al2Sb2O7,Cs2Al2Sb2O7_Va_O1,3.265689666666667,3.7700746666666665,3.5529,0.1073037051364735,0.0,0.7717577246878955,0.1209385701756312,-2.515293009297082,0.0054911478187781,0.0,0.9452156326421556,0.0492932195390664,-1.85742,-1.4575440000000004,19.299043,1.1749345274197045,0.9151243155138336,1.9084868192717543,2.7045266666666667,2.177117,3.44,-1.85742,-1.4171329999999998,0.79,2.213123848134931,0.0,0.0,0.2369362439392879,5.491618099999991,0.0,0.0,0.0,0.2454679302588331,0.0,0.0,0.0,0.0,0.2296206904923795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879751353094994,0.0,0.0,0.0
411,Cs2Al2Sb2O7,Cs2Al2Sb2O7_Va_O2,3.265689666666667,3.7700746666666665,3.5529,0.1073037051364735,0.0,0.7717577246878955,0.1209385701756312,-2.515293009297082,0.0054911478187781,0.0,0.9452156326421556,0.0492932195390664,-1.8518966666666667,-1.673508,20.827859,1.8707937400005823,1.4796089356972295,2.0471868765130923,2.7045266666666667,2.177154,2.05,2.424546666666666,1.814375,1.61,1.6065783243480625,0.0,0.0,0.1635159735478136,6.148584030000061,0.0,0.0,0.0,0.5229552879962931,0.0,0.0,0.0,0.0,0.3135287384558933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Cs2BeO2,Cs2BeO2_Va_O1,3.323217666666667,7.575436666666666,2.8191,0.0688068471167951,0.0,0.2865750575804509,0.6446180953027542,-2.0228830126724127,0.0218299080777726,0.0,0.9711030282265096,0.0070670636957176,-1.8963033333333328,-1.3561300000000005,18.26273,1.3108651419012094,0.9560942223586628,1.184602843015307,1.3528033333333334,1.0634869999999998,1.57,1.3154833333333331,0.7877379999999992,0.79,2.0400287921043465,0.0,0.0,0.0051615294888114,6.636406660000271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883651152178931,0.0,0.0,0.5064733552932953,0.0,0.0,0.0
413,Cs2BeO2,Cs2BeO2_Va_O2,3.323217666666667,7.575436666666666,2.8191,0.0688068471167951,0.0,0.2865750575804509,0.6446180953027542,-2.0228830126724127,0.0218299080777726,0.0,0.9711030282265096,0.0070670636957176,-2.1063,-1.4144629999999996,17.826077,1.2830141524941574,0.8822774402809155,1.0609972061391637,1.3528033333333334,1.0824820000000002,1.57,1.3154833333333331,0.7761110000000002,0.79,1.14828054545211,0.0,0.0,0.0157052209274336,6.480850050000194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2940748342070055,0.0,0.0,0.6902199448655609,0.0,0.0,0.0
414,Cs2CeO3,Cs2CeO3_Va_O1,3.817134333333333,9.533934333333333,2.5233,0.0153125178706703,0.9647821745971842,0.0163623977719706,0.0035429097601751,-2.674501665977012,0.0340262205907893,0.0632773986186915,0.8961168641034838,0.0065795166870353,-2.4450800000000004,-1.4665309999999998,19.572485,1.9032120940233344,1.0712492077624671,1.3420881524295536,4.546663333333334,2.316756,1.12,1.362523333333333,0.9715919999999992,0.79,1.3705822028184516,0.0,0.0,0.1630053054091552,4.964501289999939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3640124033190675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4729822912717772,0.0,0.0,0.0
415,Cs2CrO4,Cs2CrO4_Va_O2,3.033957666666667,4.284714999999999,2.994,0.7037160337221453,0.0,0.2942629714786461,0.0020209947992089,-2.071006494766011,0.0062929889487744,0.0,0.993058263025522,0.0006487480257043,-1.3377266666666667,-1.0366650000000002,18.831297,1.006324147067235,0.7633258941508159,1.6476389314572877,2.4622166666666665,2.129973,1.66,1.3710933333333333,0.9307230000000004,0.79,1.7199103069365496,0.0,0.0,0.2429862359416173,4.601110069999672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456613864505766,0.511352377607806,0.0,0.0,0.0
416,Cs2CrO4,Cs2CrO4_Va_O3,3.033957666666667,4.284714999999999,2.994,0.7037160337221453,0.0,0.2942629714786461,0.0020209947992089,-2.071006494766011,0.0062929889487744,0.0,0.993058263025522,0.0006487480257043,-1.360026666666667,-0.9880009999999996,17.690339,0.9524510826223916,0.7188523106361253,1.704351532492656,2.4622166666666665,2.140384,3.44,-1.360026666666667,-0.994611,0.79,1.6846991109815148,0.0,0.0,0.2644505190882222,4.614898169999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2454685711596171,0.4900809097521607,0.0,0.0,0.0
