Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
5,Al2Ge2O7,Al2Ge2O7_Va_O1,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.8875366666666669,-1.193829,12.641344,1.2399253377899504,0.8248410295275174,2.406341895839076,3.458433333333333,2.216851,3.44,-1.90103,-1.2368880000000004,1.61,3.103427181710611,0.0,0.0,0.3821967891620815,5.416601799999976,0.0,0.0,0.2423044291811672,0.3754987816567512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Al2Ge2O7,Al2Ge2O7_Va_O2,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.90103,-1.2368370000000004,12.960881,1.2735835225103402,0.8429595564578923,2.3974576458626684,3.458433333333333,2.216851,3.44,-1.8875366666666669,-1.1942149999999998,1.61,3.101687405729366,0.0,0.0,0.37672783681692,5.411478320000137,0.0,0.0,0.2451142612192609,0.3781579019638191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Al2Ge2O7,Al2Ge2O7_Va_O3,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.73212,-1.1317709999999996,15.599957,0.7798758860914605,0.4750407924435068,2.72604428315262,3.458433333333333,2.216959,3.44,-1.7285700000000002,-1.207008,2.01,2.596100957120228,0.0,0.0,0.5069556605513958,3.8145812599999633,0.0,0.0,0.4707885608589151,0.0222557785896891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al2Ge2O7,Al2Ge2O7_Va_O4,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.7285700000000002,-1.206664,15.425847,0.760271318035256,0.5005306876201228,2.6131783167219456,3.458433333333333,2.216851,3.44,-1.73212,-1.207008,1.61,2.043769290199058,0.0,0.0,0.4875975437453005,4.388867460000151,0.0,0.0,0.2771870291701144,0.2352154270845852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Ba2CdGe2O7,Ba2CdGe2O7_Va_O1,3.4139700000000004,6.763973,2.803,0.0166489774129581,0.0,0.3785442112538833,0.6048068113331582,-2.5077382379166666,0.0830397660552919,0.0,0.914124700790518,0.0028355331541904,-2.1034166666666665,-0.858034,15.069983,1.5196196741882098,0.7347153261606033,2.130830121935377,2.98255,1.7835710000000002,2.01,2.649223333333333,1.237635,0.89,2.935732460142511,0.0,0.0,0.2829173270794637,4.059284360000115,0.0,0.0,0.463741908823879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533407640966573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Ba2CdGe2O7,Ba2CdGe2O7_Va_O2,3.4139700000000004,6.763973,2.803,0.0166489774129581,0.0,0.3785442112538833,0.6048068113331582,-2.5077382379166666,0.0830397660552919,0.0,0.914124700790518,0.0028355331541904,-1.8159866666666664,-1.1334090000000003,18.367224,1.341255631895926,0.7828984268595024,2.000181373124452,2.98255,1.7873590000000004,2.01,2.649223333333333,1.332556,0.89,1.5253582791792035,0.0,0.0,0.2996707676717948,3.878674700000042,0.0,0.0,0.2720872232492732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3766379771761964,0.0,0.0,0.0516040319027355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Ba2CdGe2O7,Ba2CdGe2O7_Va_O3,3.4139700000000004,6.763973,2.803,0.0166489774129581,0.0,0.3785442112538833,0.6048068113331582,-2.5077382379166666,0.0830397660552919,0.0,0.914124700790518,0.0028355331541904,-1.9240066666666664,-1.0555750000000002,17.350306,1.3403687006480385,0.7466229068994147,2.0632463159271213,2.98255,1.7873590000000004,2.01,2.16786,1.259729,0.89,1.833216128986976,0.0,0.0,0.2812164567425739,3.754876320000117,0.0,0.0,0.247130324995225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247455234213569,0.0,0.0,0.2241979840486322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Ba2MgGe2O7,Ba2MgGe2O7_Va_O1,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-2.034826666666667,-1.326346,16.098201,1.526113386906989,1.0484915221819462,2.125871812472001,2.9609233333333336,2.082065,2.01,2.60881,1.7627760000000006,0.89,2.8016680828652487,0.0,0.0,0.2800294515737558,4.269437119999916,0.0,0.0,0.4658899204990391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540806279272051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Ba2MgGe2O7,Ba2MgGe2O7_Va_O2,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-1.8755466666666667,-1.3219529999999995,18.131329,1.3419792891376836,0.9168567184587108,1.9643712694720457,2.9609233333333336,2.074635,2.01,2.60881,1.7627760000000006,0.89,1.4529151986460331,0.0,0.0,0.2987378623261082,4.128461550000006,0.0,0.0,0.2656053356634128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3996764577308429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359803442796358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Ba2MgGe2O7,Ba2MgGe2O7_Va_O3,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-1.8282366666666665,-1.3343790000000002,18.9064,1.279368711792031,0.9273658642272262,1.986969095992572,2.9609233333333336,2.074635,2.01,1.959396666666667,1.57677,0.89,1.6176245584051752,0.0,0.0,0.2821819190002379,4.744194229999843,0.0,0.0,0.2499652453934717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2358430077461084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2320098278601819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
