Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
75,Ba2HfO4,Ba2HfO4_Va_O1,4.402725333333333,23.50662733333333,3.3565000000000005,0.9514505794208992,0.0,0.0440125435190942,0.0045368770600066,-3.536361635714286,0.0284698350546796,0.0,0.9674152933328788,0.0041148716124418,-2.7657333333333334,-1.648586,15.542527,1.964719038897304,0.7130557367006706,1.810265753174708,5.499639999999999,1.7927300000000006,3.44,-2.7657333333333334,-1.6054830000000004,0.89,2.1701931816232194,0.0,0.0,0.3070261145623438,7.200717550000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357975931679774,0.0,0.0,0.0,0.0,0.0,0.3349979537578821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ba2HfO4,Ba2HfO4_Va_O2,4.402725333333333,23.50662733333333,3.3565000000000005,0.9514505794208992,0.0,0.0440125435190942,0.0045368770600066,-3.536361635714286,0.0284698350546796,0.0,0.9674152933328788,0.0041148716124418,-2.6446633333333334,-0.8241379999999996,15.095335,2.0782039325348154,1.0792519579783917,1.4530376490200632,5.499639999999999,1.7927300000000006,1.3,2.66057,1.316576,0.89,1.1670350263296951,0.0,0.0,0.1943168503385507,6.940159959999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6409766114742327,0.0,0.0,0.0,0.0,0.0,0.1647065381872164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Ba3Hf2O7,Ba3Hf2O7_Va_O1,4.479751,23.90874066666667,3.5091,0.9575172004822284,0.0,0.0386931038090557,0.0037896957087161,-3.643018930416667,0.0259408999291738,0.0,0.9707819052201108,0.0032771948507154,-2.835233333333333,-1.360728,13.950217,1.782750256430409,0.3508488564494623,1.893425952920616,5.637936666666666,2.4176,3.44,-2.80092,-1.3794839999999997,0.89,1.6315658803221602,0.0,0.0,0.341248307069167,7.439734059999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337693273351254,0.0,0.0,0.0,0.0,0.0,0.3249823655957076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Ba3Hf2O7,Ba3Hf2O7_Va_O2,4.479751,23.90874066666667,3.5091,0.9575172004822284,0.0,0.0386931038090557,0.0037896957087161,-3.643018930416667,0.0259408999291738,0.0,0.9707819052201108,0.0032771948507154,-2.80092,-1.3794839999999997,13.985627,1.937837436695605,0.8271259406757351,1.8374110803457269,5.637936666666666,2.4542710000000003,3.44,-2.835233333333333,-1.360728,0.89,1.9738148557526345,0.0,0.0,0.3178468822260268,7.332075369999879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3482469454096841,0.0,0.0,0.0,0.0,0.0,0.3339061723642889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Ba3Hf2O7,Ba3Hf2O7_Va_O3,4.479751,23.90874066666667,3.5091,0.9575172004822284,0.0,0.0386931038090557,0.0037896957087161,-3.643018930416667,0.0259408999291738,0.0,0.9707819052201108,0.0032771948507154,-2.63919,-1.5270080000000004,18.461195,2.103528659076228,1.6960362217209797,1.4582270357122713,5.637936666666666,2.454745,1.3,2.662996666666667,2.4176,0.89,1.1572565592973247,0.0,0.0,0.1956632631543023,6.952276909999805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353471888730143,0.0,0.0,0.0,0.0,0.0,0.1689895479726833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,BaHf(BO3)2,BaHf(BO3)2_Va_O1,3.390382666666667,8.622676,4.7164,0.7551488913230697,0.0,0.2021208012322708,0.0427303074446591,-3.4097016038333336,0.0251075102250097,0.0,0.9642645333000066,0.0106279564749839,-2.1148566666666664,-0.9190310000000004,12.671437,1.3619980916188026,0.6258488850541906,2.2119904848362326,5.261263333333333,2.116693,3.44,-2.1148566666666664,-1.152329,0.89,2.970114580217019,0.0,0.0,0.3436238741786829,7.015893060000403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281880629106586,0.1615213962439916,0.0,0.0,0.0,0.0,0.0,0.1666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,BaHf(SiO3)3,BaHf(SiO3)3_Va_O1,2.9677063333333336,5.8078563333333335,4.7369,0.6613372782599612,0.0,0.1588675022037358,0.1797952195363024,-3.519880910357143,0.0142946089205182,0.0,0.9833253106062504,0.0023800804732311,-1.78946,-1.443257,17.098327,0.935352518673192,0.8887066379520654,2.498462609998142,3.3238133333333337,2.80819,1.9,3.32381,2.805421,1.9,3.4487876770446126,0.0,0.0,0.4383285497311435,6.261177269999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0758053035522958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4858661467165606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,BaHf(SiO3)3,BaHf(SiO3)3_Va_O2,2.9677063333333336,5.8078563333333335,4.7369,0.6613372782599612,0.0,0.1588675022037358,0.1797952195363024,-3.519880910357143,0.0142946089205182,0.0,0.9833253106062504,0.0023800804732311,-2.0581366666666665,-1.4001580000000002,15.967713,1.1719852475166594,0.7519437738523084,2.3591020283342625,5.028966666666666,2.805421,1.9,2.716803333333333,1.8941389999999991,0.89,2.4421339797675907,0.0,0.0,0.4475023918010948,6.580001660000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287640148905188,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.2570669266417197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,BaHfO3,BaHfO3_Va_O1,4.645095,31.840243,3.4788,0.9680846890895272,0.0,0.0314243263280468,0.0004909845824259,-3.786715509000001,0.021405910426312,0.0,0.9768822981073646,0.0017117914663233,-2.86439,-1.475027,14.535889,1.909593333333333,0.9827191666666664,1.8766666666666665,5.87293,2.909914,3.44,-2.86439,-1.4861009999999997,0.89,1.8709879346998493,0.0,0.0,0.3333333333333333,7.2706544900000925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,CaHfO3,CaHfO3_Va_O1,4.343403333333334,23.83721733333333,4.471,0.9285522821126896,0.0,0.0679247242879936,0.0035229935993167,-3.820938099000001,0.0549219506560499,0.0,0.9347125322104872,0.0103655171334627,-2.666773333333333,-1.4569349999999996,14.520424,1.7480217365570074,0.9646186159301742,1.924280056279009,5.604063333333333,2.876757,1.3,2.396243333333333,1.545057,1.0,1.6783372966115402,0.0,0.0,0.3380479231342088,7.676479319999894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3304749974273265,0.0,0.0,0.0,0.0,0.3314770794384648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
