Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
83,Ba2LaBiO6,Ba2LaBiO6_Va_O1,4.97407,18.694130666666663,1.9666,0.1034951904331247,0.0250622408214965,0.5522182743005639,0.3192242944448149,-2.788172303500001,0.0452025525728759,0.0167478959731882,0.9345889208128046,0.0034606306411312,-2.4858933333333333,-1.3616469999999996,15.872515,1.674207928392067,0.9274236799090156,1.9542717305003487,5.03946,2.53038,3.44,-2.4858933333333333,-1.3354999999999997,0.89,1.518496510366132,0.1667860835917384,0.0,0.3297699778043044,3.4724301899999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373010212672493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661429173367078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Ba2LaBiO6,Ba2LaBiO6_Va_O2,4.97407,18.694130666666663,1.9666,0.1034951904331247,0.0250622408214965,0.5522182743005639,0.3192242944448149,-2.788172303500001,0.0452025525728759,0.0167478959731882,0.9345889208128046,0.0034606306411312,-2.481983333333333,-1.435397,17.606162,1.5856354285814038,0.8831326430609415,1.9957351665249243,5.03946,2.53038,2.02,2.66091,1.849607000000001,0.89,1.4137039778209275,0.1664278328165231,0.0,0.3462863234056823,3.4778914100001064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223258877884479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649599559893466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Ba2LaSbO6,Ba2LaSbO6_Va_O1,4.363739666666667,18.24136533333333,4.0891,0.1299813045010691,0.0905646468963537,0.3668909951562424,0.4125630534463343,-3.0319067655,0.0258188633675836,0.0102083864915194,0.9614933977642436,0.0024793523766531,-2.46769,-1.4112660000000004,15.4899,1.622569497247923,0.9365338066068812,1.977543111496334,5.07528,2.771124,3.44,-2.467693333333333,-1.5106929999999998,0.89,1.74222402169006,0.0,0.0,0.3371001137680984,5.099380580000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666664,0.0,0.0,0.0,0.3314499431159508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1647832764492843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Ba2LaTaO6,Ba2LaTaO6_Va_O1,4.721191666666667,31.458687666666663,3.5932000000000004,0.8945237167764003,0.023200263830771,0.0756801257916525,0.0065958936011762,-3.5075773915000017,0.0249746215376324,0.0176242255522405,0.9531411121047388,0.0042600408053883,-2.8536299999999994,-1.2629580000000002,14.027531,1.897048536579275,0.8732214373069652,1.876775260459236,6.96311,2.254877,3.44,-2.8536299999999994,-1.2628339999999998,0.89,1.684567807801432,0.0,0.0,0.3335458792828751,7.235320579999902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352213046385321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1645468738000932,0.1666859422784995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ba2LaTaO6,Ba2LaTaO6_Va_O2,4.721191666666667,31.458687666666663,3.5932000000000004,0.8945237167764003,0.023200263830771,0.0756801257916525,0.0065958936011762,-3.5075773915000017,0.0249746215376324,0.0176242255522405,0.9531411121047388,0.0042600408053883,-2.854756666666667,-1.4496650000000004,16.464769,1.8200420787316804,0.8553158933762979,1.9114293593643523,6.96311,2.254877,1.5,2.6842066666666664,1.877981,0.89,1.5958499814484723,0.0,0.0,0.3472001208606419,7.217051750000232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3222389029845239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1639328607118333,0.1666281154430008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,BaLa2O4,BaLa2O4_Va_O1,4.039873,13.816214,3.4883,0.656753823296939,0.055881199251,0.1610557234597829,0.1263092539922775,-3.582359615714285,0.0302779576647469,0.0498629265134702,0.9165865401359128,0.0032725756858698,-2.59163,-1.3081060000000004,17.128391,1.854325486955948,0.9478547004771792,1.675891239093265,3.85225,1.9509550000000004,1.1,2.66202,1.4573800000000006,0.89,1.2070245224805107,0.0,0.0,0.2670161721934372,6.865026139999722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329838278065628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,BaLa2PdO5,BaLa2PdO5_Va_O1,5.8087946666666666,22.72138766666667,2.4285,0.6044884491802376,0.0479302122470579,0.3079354589190223,0.0396458796536822,-3.0277652011111105,0.5581323125682287,0.0179470998567108,0.4181449598691997,0.0057756277058608,-2.442503333333333,-1.3734469999999996,13.900065,1.77489758336621,0.9945643628138284,1.8326210537551288,4.426596666666666,2.1294319999999995,2.2,0.8767466666666667,0.977449,0.89,2.79707369750751,0.0,0.0,0.2256826198062021,4.6807917800000585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817612334601853,0.0,0.2206305294865952,0.0,0.0,0.0,0.0,0.0,0.0,0.3719256172470174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,BaLa2PtO5,BaLa2PtO5_Va_O2,5.867136333333334,23.201233,2.2371999999999987,0.6007500166383061,0.1385861105821409,0.223798644483067,0.0368652282964862,-3.030801111111111,0.5851146118827764,0.0191079123537963,0.3914146399290915,0.0043628358343359,-2.41476,-1.375572,13.538515,1.74875601877651,0.9832555689667202,1.8507016565950525,4.518836666666666,2.1015820000000005,2.28,0.5573,0.9831380000000004,0.89,3.438062078571193,0.0,0.0,0.2261054371890565,4.704462130000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1811663284888345,0.0,0.0,0.0,0.2200507309790807,0.0,0.0,0.0,0.0,0.3726775033430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,CaLaGaO4,CaLaGaO4_Va_O1,3.7282603333333335,8.668733000000001,3.4838000000000005,0.1386016869413396,0.0770900335603335,0.2399584350119084,0.544349844486419,-3.223998694642857,0.0562556850604435,0.0259292631065081,0.9135789653622068,0.0042360864708411,-2.31981,-1.351025,16.137564,1.734913177482588,0.9779109321256544,1.8952270045311868,4.207846666666668,2.133388,3.44,-2.31981,-1.3491679999999997,1.0,1.6376512539558128,0.0,0.0,0.2748025164312026,5.670499250000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613924447664305,0.0,0.0,0.0,0.0,0.0,0.0,0.2370821979701621,0.3267228408322047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,CaLaGaO4,CaLaGaO4_Va_O2,3.7282603333333335,8.668733000000001,3.4838000000000005,0.1386016869413396,0.0770900335603335,0.2399584350119084,0.544349844486419,-3.223998694642857,0.0562556850604435,0.0259292631065081,0.9135789653622068,0.0042360864708411,-2.285476666666667,-1.3542709999999998,16.619512,1.691795686182384,1.0395399328907884,1.7741306521602838,4.207846666666668,2.129761,1.81,2.33191,1.5621609999999997,1.0,1.6192075689501106,0.0,0.0,0.2268387006560822,5.672021999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378420453747672,0.0,0.0,0.0,0.0,0.0,0.0,0.2494539396655321,0.1858653143036183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,CaLaGaO4,CaLaGaO4_Va_O3,3.7282603333333335,8.668733000000001,3.4838000000000005,0.1386016869413396,0.0770900335603335,0.2399584350119084,0.544349844486419,-3.223998694642857,0.0562556850604435,0.0259292631065081,0.9135789653622068,0.0042360864708411,-2.170586666666667,-1.3263030000000002,16.070201,1.576827029122575,0.9855539369295222,1.814940045996161,4.207846666666668,2.129761,1.81,2.33191,1.5616580000000004,1.0,1.724045653922299,0.0,0.0,0.2394016443499428,5.192735370000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3370402841674691,0.0,0.0,0.0,0.0,0.0,0.0,0.2654144037099186,0.1581436677726694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
