Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
169,Ba4Li(SbO4)3,Ba4Li(SbO4)3_Va_O1,4.490492,19.946475,1.6418,0.0092099773750339,0.0,0.9905732879390814,0.0002167346858846,-2.5572898346666664,0.0194571406065284,0.0,0.9776001464605292,0.0029427129329425,-2.45056,-1.1007819999999997,11.516803,1.651406352388571,0.8830892843528679,2.166183804459811,4.84811,2.573293,2.05,4.84811,2.573214,2.05,2.58790649360424,0.0,0.0,0.3547703059188708,4.403944009999927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202754520402504,0.0,0.0,0.0,0.3249542420408786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Ba4Li(SbO4)3,Ba4Li(SbO4)3_Va_O2,4.490492,19.946475,1.6418,0.0092099773750339,0.0,0.9905732879390814,0.0002167346858846,-2.5572898346666664,0.0194571406065284,0.0,0.9776001464605292,0.0029427129329425,-2.0363133333333336,-1.213971,13.674845,1.3205302821857376,0.7126991112256278,1.915164915208084,4.84811,2.573214,2.05,1.42124,0.569878,0.89,1.7660262731657763,0.0,0.0,0.3144307471914995,2.8620879700000703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797245479597493,0.0,0.0,0.0,0.3404443244437403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654003804050109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,BaLiBO3,BaLiBO3_Va_O1,3.259809333333333,7.717720333333333,4.3964,0.6166699406350588,0.0,0.2785915100831478,0.1047385492817931,-2.9588598808333337,0.0179377459345679,0.0,0.9786765801677196,0.0033856738977126,-1.89128,-1.4408130000000003,14.871236,1.3918163348796584,1.070738007763111,1.6729691364717565,2.721486666666667,1.968812,2.04,1.0026933333333332,0.6414839999999999,0.89,2.577250853989843,0.0,0.0,0.1691537811775205,6.947990259999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2915175173521066,0.3573081513130769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1820205501572958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,BaLiBO3,BaLiBO3_Va_O2,3.259809333333333,7.717720333333333,4.3964,0.6166699406350588,0.0,0.2785915100831478,0.1047385492817931,-2.9588598808333337,0.0179377459345679,0.0,0.9786765801677196,0.0033856738977126,-1.87707,-1.5132339999999995,14.501247,1.5410676460874695,1.1921666708996108,1.4289886026329244,2.721486666666667,1.995442,2.04,1.0026933333333332,0.634952,0.89,2.691006742313024,0.0,0.0,0.0699329649276485,6.984487769999882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851676206602668,0.2813796554330448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3635197589790399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,BaLiBO3,BaLiBO3_Va_O3,3.259809333333333,7.717720333333333,4.3964,0.6166699406350588,0.0,0.2785915100831478,0.1047385492817931,-2.9588598808333337,0.0179377459345679,0.0,0.9786765801677196,0.0033856738977126,-1.85679,-1.4273499999999997,13.987402,1.417084631329982,1.1032242713763063,1.53754901310518,2.721486666666667,1.995442,2.04,1.0026933333333332,0.6414839999999999,0.89,2.646135996449018,0.0,0.0,0.1133721438811733,6.970141599999929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867700615663326,0.2813636233646551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318494171187839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,Cs2Li2GeO4,Cs2Li2GeO4_Va_O1,3.2185943333333333,6.114782666666667,3.5806000000000004,0.0353800788887844,0.0,0.3542180160335652,0.6104019050776507,-2.1051380158365265,0.0218748379594623,0.0,0.9734402032587348,0.0046849587818027,-1.8607366666666667,-0.9664929999999998,14.750769,1.4143056023042524,0.8058240092121322,1.2505026491417384,2.796613333333333,1.470281,2.01,0.9938666666666668,0.4377149999999999,0.79,1.6281779424231504,0.0,0.0,0.039943535787188,4.825497489999984,0.0,0.0,0.2286866820663121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981817220252068,0.0,0.0,0.0,0.3331880601212932,0.0,0.0,0.0
419,Cs2Li2GeO4,Cs2Li2GeO4_Va_O2,3.2185943333333333,6.114782666666667,3.5806000000000004,0.0353800788887844,0.0,0.3542180160335652,0.6104019050776507,-2.1051380158365265,0.0218748379594623,0.0,0.9734402032587348,0.0046849587818027,-1.8633633333333333,-0.9927320000000002,13.003776,1.3518458487816576,0.7105796407596308,1.2449797845032216,2.796613333333333,1.4707530000000002,2.01,0.9938666666666668,0.4377149999999999,0.79,1.7700711978375825,0.0,0.0,0.0325758797453514,5.20998449000002,0.0,0.0,0.2108550089788746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5863715380200702,0.0,0.0,0.0,0.1701975732557037,0.0,0.0,0.0
420,Cs2Li2GeO4,Cs2Li2GeO4_Va_O3,3.2185943333333333,6.114782666666667,3.5806000000000004,0.0353800788887844,0.0,0.3542180160335652,0.6104019050776507,-2.1051380158365265,0.0218748379594623,0.0,0.9734402032587348,0.0046849587818027,-1.8863166666666669,-1.333145,20.540131,1.395780506907161,0.9111905307841464,1.3565996846224582,2.796613333333333,1.470281,2.01,1.3265166666666666,0.991206,0.79,1.342311365713568,0.0,0.0,0.0974043254638507,4.244944519999885,0.0,0.0,0.2525926545504187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016588610091736,0.0,0.0,0.0,0.648344158976557,0.0,0.0,0.0
421,Cs2Li2GeO4,Cs2Li2GeO4_Va_O4,3.2185943333333333,6.114782666666667,3.5806000000000004,0.0353800788887844,0.0,0.3542180160335652,0.6104019050776507,-2.1051380158365265,0.0218748379594623,0.0,0.9734402032587348,0.0046849587818027,-1.917403333333333,-1.123679,15.237515,1.398361494553516,0.7556756473849703,1.2588857501474813,2.796613333333333,1.4707530000000002,2.01,0.9938666666666668,0.4377149999999999,0.79,1.805930522346883,0.0,0.0,0.0319693391170262,5.0755888,0.0,0.0,0.2293278297927071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494055217908378,0.0,0.0,0.0,0.1892973092994287,0.0,0.0,0.0
422,Cs2Li2SiO4,Cs2Li2SiO4_Va_O1,3.099229,6.30915,4.0485,0.2835448950292464,0.0,0.2365783039739738,0.4798768009967797,-2.471690085836526,0.0087910849127078,0.0,0.9850814321475422,0.0061274829397498,-1.8862733333333328,-1.3061610000000003,14.717064,1.3320537924728713,0.9029337447643172,1.288665516529164,2.701986666666667,2.4312560000000003,1.9,1.00991,0.411648,0.79,2.2116258351157856,0.0,0.0,0.0513692810646197,6.852228599999885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353047396034457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533414003937355,0.0,0.0,0.0,0.1799119753945795,0.0,0.0,0.0
