Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
88,Ba2Mg(BO3)2,Ba2Mg(BO3)2_Va_O1,3.531091,8.093878333333334,4.7117,0.6385962935344359,0.0,0.2368987528397045,0.1245049536258592,-3.129790906212121,0.0209639551681754,0.0,0.9770113734621072,0.0020246713697175,-1.93347,-1.455686,13.092773,1.3055553266347844,0.9177833642587748,1.9080018823710925,2.7740500000000003,1.812756,2.04,1.87371,1.4694950000000002,0.89,2.837647917156953,0.0,0.0,0.2390819829119007,7.094550070000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2942209909031137,0.3000572966441179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666397295408675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Ba2MgGe2O7,Ba2MgGe2O7_Va_O1,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-2.034826666666667,-1.326346,16.098201,1.526113386906989,1.0484915221819462,2.125871812472001,2.9609233333333336,2.082065,2.01,2.60881,1.7627760000000006,0.89,2.8016680828652487,0.0,0.0,0.2800294515737558,4.269437119999916,0.0,0.0,0.4658899204990391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540806279272051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Ba2MgGe2O7,Ba2MgGe2O7_Va_O2,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-1.8755466666666667,-1.3219529999999995,18.131329,1.3419792891376836,0.9168567184587108,1.9643712694720457,2.9609233333333336,2.074635,2.01,2.60881,1.7627760000000006,0.89,1.4529151986460331,0.0,0.0,0.2987378623261082,4.128461550000006,0.0,0.0,0.2656053356634128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3996764577308429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359803442796358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Ba2MgGe2O7,Ba2MgGe2O7_Va_O3,3.215983,5.531841,3.5078,0.0231321061074362,0.0,0.3745873521824705,0.6022805417100932,-2.7931089208333333,0.0392427951899559,0.0,0.9579521223603188,0.0028050824497252,-1.8282366666666665,-1.3343790000000002,18.9064,1.279368711792031,0.9273658642272262,1.986969095992572,2.9609233333333336,2.074635,2.01,1.959396666666667,1.57677,0.89,1.6176245584051752,0.0,0.0,0.2821819190002379,4.744194229999843,0.0,0.0,0.2499652453934717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2358430077461084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2320098278601819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Ba2MgSi2O7,Ba2MgSi2O7_Va_O1,2.9985646666666668,4.947788,4.5151,0.0084102123903491,0.0,0.9899367416728732,0.0016530459367778,-3.3661644154166668,0.0205886209038723,0.0,0.9757877340453196,0.0036236450508078,-1.8030233333333328,-1.309227,16.80915,1.2728355337854822,0.9169463236968978,1.956148810444365,2.857166666666666,2.088947,1.9,1.9994633333333327,1.507667,0.89,1.954080846225262,0.0,0.0,0.2813719260672448,6.671825889999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2396518939130527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2290093946559476,0.2499667853637547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Ba2MgSi2O7,Ba2MgSi2O7_Va_O2,2.9985646666666668,4.947788,4.5151,0.0084102123903491,0.0,0.9899367416728732,0.0016530459367778,-3.3661644154166668,0.0205886209038723,0.0,0.9757877340453196,0.0036236450508078,-1.8703,-1.3195430000000004,16.520765,1.3374141645380977,0.9283422248323056,1.9245328610825136,2.857166666666666,2.088947,1.9,2.59929,1.735977,0.89,1.6585435562997517,0.0,0.0,0.2941830889530036,6.354059069999844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3997427540585442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419812106881046,0.2640929463003476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Ba2MgSi2O7,Ba2MgSi2O7_Va_O3,2.9985646666666668,4.947788,4.5151,0.0084102123903491,0.0,0.9899367416728732,0.0016530459367778,-3.3661644154166668,0.0205886209038723,0.0,0.9757877340453196,0.0036236450508078,-1.9596866666666664,-1.239795,14.047182,1.4377488112792358,1.0172657193916952,2.106248918227482,2.857166666666666,2.101995,1.9,2.59929,1.71195,0.89,3.463631557818279,0.0,0.0,0.2900863917519054,6.401436499999713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2381030941291605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471810514118934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Ba3MgSb2O9,Ba3MgSb2O9_Va_O1,4.004727666666667,14.616443,2.8573,0.0100420744420752,0.0,0.3936330878111603,0.5963248377467643,-2.6995449040000006,0.0184311485377377,0.0,0.9791402147886432,0.0024286366736185,-2.11399,-1.4032520000000002,14.675939,1.420824862702088,0.9204226620224932,1.9848146738019936,3.95961,2.791309,2.05,2.56292,1.58567,0.89,1.9514056810206264,0.0,0.0,0.3169905981331887,4.079700650000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866282657632086,0.0,0.0,0.0,0.3297148021106483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666663339929545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Ba3MgSb2O9,Ba3MgSb2O9_Va_O2,4.004727666666667,14.616443,2.8573,0.0100420744420752,0.0,0.3936330878111603,0.5963248377467643,-2.6995449040000006,0.0184311485377377,0.0,0.9791402147886432,0.0024286366736185,-2.0429033333333333,-1.3656699999999995,14.202563,1.3094057626658635,0.9015735901125924,2.175411893660774,3.95961,2.791309,3.44,-2.0429033333333333,-1.3688900000000004,0.89,2.4586944447654595,0.0,0.0,0.3719140021328106,4.872961969999901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905441277776786,0.0,0.0,0.0,0.3375418700895108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Ba3MgTa2O9,Ba3MgTa2O9_Va_O1,4.637717,22.313668000000003,3.2239,0.8505417948757386,0.0,0.1428660484981954,0.0065921566260663,-3.4162774223333336,0.0202719635447421,0.0,0.97734699459111,0.0023810418641477,-2.52734,-1.3489500000000003,14.073414,1.6993401370900858,0.909469115870766,1.8786860369899248,6.416563333333333,2.68434,1.5,2.72547,1.600052,0.89,1.9408974532469965,0.0,0.0,0.3178016289111172,7.235483419999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381262255624385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777978007656298,0.1662743447608144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
