Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
1267,Rb2Al2Sb2O7,Rb2Al2Sb2O7_Va_O1,3.195774666666667,4.419937,3.4936000000000003,0.1011578214589601,0.0,0.7860222195831732,0.1128199589578669,-2.5277962692307687,0.0048694836582609,0.0,0.9453904699552624,0.0497400463864766,-1.7994466666666666,-1.389387,17.70894,1.1451716753667802,0.8828190328449622,1.9017394217521548,2.6797766666666667,2.1042,2.05,1.2618766666666668,0.9211270000000004,0.82,2.2332136127623827,0.0,0.0,0.2332649565451812,5.4706412400002,0.0,0.0,0.0,0.2458558125111889,0.0,0.0,0.0,0.0,0.2246822306666183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2961970002770115
1268,Rb2Al2Sb2O7,Rb2Al2Sb2O7_Va_O2,3.195774666666667,4.419937,3.4936000000000003,0.1011578214589601,0.0,0.7860222195831732,0.1128199589578669,-2.5277962692307687,0.0048694836582609,0.0,0.9453904699552624,0.0497400463864766,-1.83295,-1.613099,20.092866,1.8686704835217465,1.464840877648433,2.0422653601683,2.6797766666666667,2.1042,2.05,2.373153333333333,1.823169,1.61,1.624469458701181,0.0,0.0,0.1591388924215802,6.198865110000165,0.0,0.0,0.0,0.5203129552220382,0.0,0.0,0.0,0.0,0.3205481523563814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,Rb2Be2O3,Rb2Be2O3_Va_O1,2.841212,4.231346666666666,2.4254,0.0669620579510492,0.0,0.2606056850371884,0.6724322570117616,-2.377723397857143,0.0095925920058768,0.0,0.9880529258254992,0.0023544821686242,-1.8246433333333327,-1.6338910000000002,17.594088,1.3045213800556998,1.208662945422024,1.3186439947914728,1.5410500000000005,1.682871,1.57,1.2111466666666668,0.8140269999999994,0.82,2.264499680717455,0.0,0.0,0.0291543328977922,6.707784469999874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630128567990093,0.0,0.0,0.0,0.0,0.0,0.4078328103031986
1270,Rb2Be2O3,Rb2Be2O3_Va_O2,2.841212,4.231346666666666,2.4254,0.0669620579510492,0.0,0.2606056850371884,0.6724322570117616,-2.377723397857143,0.0095925920058768,0.0,0.9880529258254992,0.0023544821686242,-1.8333866666666667,-1.6485770000000004,18.163416,1.306509297729644,1.2122600269554091,1.3098038993263637,1.5410500000000005,1.682871,1.57,1.21089,0.8140920000000005,0.82,2.3666260707242195,0.0,0.0,0.0278020316643496,7.1476963799999655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5559501018210236,0.0,0.0,0.0,0.0,0.0,0.4162478665146267
1271,Rb2CeO3,Rb2CeO3_Va_O1,3.9804476666666666,16.48613966666667,2.7647000000000004,0.0070935334358448,0.9637484924283708,0.0273416942221943,0.0018162799135898,-2.7078352658333342,0.0111987922081853,0.0997780117385634,0.8866721913401096,0.0023510047131413,-2.4566233333333334,-1.4222029999999997,17.48359,1.8374960189448737,1.0189255685776164,1.3460816284187862,4.791516666666666,2.3723910000000004,1.12,1.19145,0.8196940000000001,0.82,1.2315831392512286,0.0,0.0,0.1627251635483261,4.575105469999821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324723330739065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048025033777673
1272,Rb2CeO3,Rb2CeO3_Va_O2,3.9804476666666666,16.48613966666667,2.7647000000000004,0.0070935334358448,0.9637484924283708,0.0273416942221943,0.0018162799135898,-2.7078352658333342,0.0111987922081853,0.0997780117385634,0.8866721913401096,0.0023510047131413,-2.445,-1.3689520000000002,17.772318,1.8447724377107344,1.020885740478915,1.3443625233666276,4.791516666666666,2.3723910000000004,1.12,1.19145,0.8196940000000001,0.82,1.209487160859462,0.0,0.0,0.1619211348579059,4.531084509999696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337638334630468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5043150316790473
1273,Rb2CrO4,Rb2CrO4_Va_O1,2.86484,4.641119000000001,2.9251,0.7032201401719267,0.0,0.2944280828642373,0.0023517769638361,-2.0608430942857154,0.0053835010816535,0.0,0.9938268900410212,0.0007896088773247,-1.2917933333333331,-1.0182320000000002,18.598872,0.911534314833145,0.7126026041532125,1.7155222879662122,2.4634033333333334,2.165995,3.44,-1.2917933333333331,-0.9894369999999996,0.82,1.7432100657135543,0.0,0.0,0.2638043779667327,4.587903279999759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432795448730626,0.0,0.0,0.0,0.4929160771602046
1274,Rb2CrO4,Rb2CrO4_Va_O2,2.86484,4.641119000000001,2.9251,0.7032201401719267,0.0,0.2944280828642373,0.0023517769638361,-2.0608430942857154,0.0053835010816535,0.0,0.9938268900410212,0.0007896088773247,-1.28349,-1.0079570000000002,18.390018,0.9679599236334248,0.7552195740843531,1.6560446929389063,2.4634033333333334,2.165995,1.66,1.2606933333333334,0.9009789999999996,0.82,1.7594258556904452,0.0,0.0,0.2408890036201322,4.5603892299999504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439470279216187,0.0,0.0,0.0,0.5151639684582491
1275,Rb2CrO4,Rb2CrO4_Va_O3,2.86484,4.641119000000001,2.9251,0.7032201401719267,0.0,0.2944280828642373,0.0023517769638361,-2.0608430942857154,0.0053835010816535,0.0,0.9938268900410212,0.0007896088773247,-1.22265,-0.962217,19.117242,0.7916289205341154,0.6273775257972524,1.8599445971249988,2.4634033333333334,2.184174,3.44,-1.22265,-0.962231,0.82,1.723146285636404,0.0,0.0,0.3160462128487011,4.609423299999785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522660945969067,0.0,0.0,0.0,0.4316876925543922
1276,Rb2Hf2O5,Rb2Hf2O5_Va_O2,3.8334903333333337,9.970409666666669,1.8493,0.6717727561387659,0.0,0.2733135397144685,0.0549137041467652,-3.137224755555556,0.0066170351741482,0.0,0.9915240466567946,0.0018589181690572,-1.9909366666666664,-1.39391,15.163369,2.1589933792090843,1.2755773701353472,1.4066807490120103,5.069123333333334,2.836336,1.3,1.1032933333333337,0.7672039999999996,0.82,3.838946441047521,0.0,0.0,0.1493686931883894,7.241240849999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4069474434550626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436838633565479
