Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
95,Ba2Sc2O5,Ba2Sc2O5_Va_O1,4.5232193333333335,13.090168,2.7136,0.6238036186264954,0.0,0.360912928280327,0.0152834530931774,-3.507444349999999,0.0490964109073151,0.0,0.9429620339572768,0.0079415551354082,-2.6161333333333334,-1.402896,15.436117,1.9642313699267613,1.0909365816331027,1.5943113950051109,3.80659,1.916142,1.36,2.62372,1.6174309999999998,0.89,1.5202797637908516,0.0,0.0,0.2089667878984906,6.83587153999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262543060079785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647789060935309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Ba2Sc2O5,Ba2Sc2O5_Va_O2,4.5232193333333335,13.090168,2.7136,0.6238036186264954,0.0,0.360912928280327,0.0152834530931774,-3.507444349999999,0.0490964109073151,0.0,0.9429620339572768,0.0079415551354082,-2.4930266666666667,-1.3782310000000004,15.19219,1.9792978505719268,1.0934875364805283,1.6038050346155142,3.80659,1.916804,3.44,-2.6292166666666668,-1.4500260000000005,0.89,1.896307812262808,0.0,0.0,0.2099287732830893,6.807544420000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4103123698155567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379758856901354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Ba2Sc2O5,Ba2Sc2O5_Va_O3,4.5232193333333335,13.090168,2.7136,0.6238036186264954,0.0,0.360912928280327,0.0152834530931774,-3.507444349999999,0.0490964109073151,0.0,0.9429620339572768,0.0079415551354082,-2.6292166666666668,-1.4500099999999998,16.421452,1.7248091187404446,0.9425813922523514,1.7430595630530388,3.80659,1.916815,3.44,-2.4930266666666667,-1.3782310000000004,0.89,1.5463295447641927,0.0,0.0,0.2624817471924337,6.885352360000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466010023557947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3909172504517717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Ba2ScCuO4,Ba2ScCuO4_Va_O2,4.763078666666666,13.054340000000002,2.3411000000000004,0.5044758531296935,0.0,0.4232496354537467,0.0722745114165597,-2.879963581875,0.3252143689015425,0.0,0.6701778011619142,0.004607829936543,-2.1677433333333336,-1.3941920000000003,15.646255,1.4579470340544491,0.8900990362252481,1.6219480828530537,4.3992,2.337991,1.9,0.2460966666666667,0.4764090000000003,0.89,2.236288311956065,0.0,0.0,0.1499919918894525,5.380823910000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736264157522352,0.0,0.0,0.0,0.0,0.4208372867727974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555443055855148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,BaNaSc(BO3)2,BaNaSc(BO3)2_Va_O1,3.382668,7.979019666666666,3.9474,0.8670726394993583,0.0,0.1142888354038368,0.0186385250968045,-3.158898195898642,0.0183855892020147,0.0,0.9714623571877496,0.0101520536102355,-2.04269,-1.455431,14.004029,1.4796758377742378,0.923432794173315,1.8167856662208388,4.04689,2.036058,2.04,1.12476,0.636699,0.89,2.995936041189898,0.0,0.0,0.1979421219242309,7.195783900000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290891762673434,0.1010027521355796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653516132765825,0.0,0.0,0.0,0.0,0.0,0.244811749990173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,BaNaSc(BO3)2,BaNaSc(BO3)2_Va_O2,3.382668,7.979019666666666,3.9474,0.8670726394993583,0.0,0.1142888354038368,0.0186385250968045,-3.158898195898642,0.0183855892020147,0.0,0.9714623571877496,0.0101520536102355,-2.077336666666667,-0.9911260000000004,12.301248,1.378943826608654,0.7091093075210285,2.021688504194822,4.11487,2.036058,2.04,2.189226666666667,0.7753030000000001,0.89,2.988263272758269,0.0,0.0,0.2748973838190767,6.981116750000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046428438836122,0.2031038142134213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0506892914172228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Ca2ScSbO6,Ca2ScSbO6_Va_O1,4.254186333333333,14.474167333333334,3.751500000000001,0.4185372396218797,0.0,0.2740441886319626,0.307418571746158,-3.1275018395000007,0.0582014529469373,0.0,0.9304899086916368,0.011308638361426,-2.3616,-1.3661969999999997,13.578762,1.56583888470017,0.8946693584129372,2.050646720526097,5.002143333333334,3.066315,2.05,2.406673333333333,1.4328830000000004,1.0,1.8330696674299976,0.0,0.0,0.3343443170976503,5.029804969999882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666513882723782,0.0,0.0,0.0,0.0,0.3327192137359902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1662850808939813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Ca2ScSbO6,Ca2ScSbO6_Va_O2,4.254186333333333,14.474167333333334,3.751500000000001,0.4185372396218797,0.0,0.2740441886319626,0.307418571746158,-3.1275018395000007,0.0582014529469373,0.0,0.9304899086916368,0.011308638361426,-2.3491766666666667,-1.3161329999999998,12.93264,1.5592169559844735,0.8803088456853337,2.0505891786138863,5.002143333333334,3.02975,2.05,2.406673333333333,1.4328830000000004,1.0,1.7831963165277556,0.0,0.0,0.3346896544534624,5.096915179999892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661069686169546,0.0,0.0,0.0,0.0,0.3338308638750391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653725130545441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Ca2ScSbO6,Ca2ScSbO6_Va_O3,4.254186333333333,14.474167333333334,3.751500000000001,0.4185372396218797,0.0,0.2740441886319626,0.307418571746158,-3.1275018395000007,0.0582014529469373,0.0,0.9304899086916368,0.011308638361426,-2.356726666666667,-1.3265859999999998,13.641213,1.5446118154294814,0.8782644387564416,2.0596017547752026,5.002143333333334,3.066315,2.05,2.406673333333333,1.4328830000000004,1.0,1.824836403497908,0.0,0.0,0.3382155686391895,5.064931230000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664498939586424,0.0,0.0,0.0,0.0,0.3298251522938196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655093851083484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Ca2ScTaO6,Ca2ScTaO6_Va_O1,4.750460666666666,25.263270666666667,3.7066,0.9131964728067764,0.0,0.0823109155932555,0.0044926115999675,-3.6293345705,0.0611842681390013,0.0,0.928093913694192,0.0107218181668067,-2.745093333333333,-1.309031,13.468755,1.801215630945798,0.8679670876880434,1.9680080724122333,6.8617833333333325,3.016727,1.5,2.406283333333333,1.393833,1.0,1.769558725172484,0.0,0.0,0.3381414180554351,7.448498970000296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3295558703091007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665288297728913,0.0,0.0,0.1657738818625729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Ca2ScTaO6,Ca2ScTaO6_Va_O2,4.750460666666666,25.263270666666667,3.7066,0.9131964728067764,0.0,0.0823109155932555,0.0044926115999675,-3.6293345705,0.0611842681390013,0.0,0.928093913694192,0.0107218181668067,-2.7345333333333333,-1.3654659999999996,13.629939,1.8235580546688004,0.8858362058321089,1.9583353288866656,6.8617833333333325,2.994184,1.5,2.406283333333333,1.393833,1.0,1.7876118522967726,0.0,0.0,0.3340488813041798,7.4597275700001635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329636304972427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670040196641336,0.0,0.0,0.1659834685344438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Ca2ScTaO6,Ca2ScTaO6_Va_O3,4.750460666666666,25.263270666666667,3.7066,0.9131964728067764,0.0,0.0823109155932555,0.0044926115999675,-3.6293345705,0.0611842681390013,0.0,0.928093913694192,0.0107218181668067,-2.74865,-1.303152,12.964372,1.811729560664012,0.8683393102198963,1.9604491398510613,6.8617833333333325,2.994184,1.5,2.406283333333333,1.393833,1.0,1.727563282617223,0.0,0.0,0.3352878898509861,7.413665729999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337414045883563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165694532948706,0.0,0.0,0.1652761726119516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,CaSc2O4,CaSc2O4_Va_O1,4.654534666666667,16.078022,3.3614999999999995,0.8771657233913673,0.0,0.1014817411874014,0.0213525354212313,-3.7836882207142857,0.060218118848181,0.0,0.9322756656810066,0.007506215470812,-2.529926666666667,-1.5042169999999997,14.687305,1.7892056013320643,1.0320880866771074,1.8374459645916688,3.951596666666667,2.242658,3.44,-2.6460733333333333,-1.4807550000000005,1.0,1.886827849488067,0.0,0.0,0.2734092495373925,7.466425960000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534590956836325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473131654778975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
