Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
102,Ba2SnO4,Ba2SnO4_Va_O1,4.331444,13.681369000000002,2.6748,0.0680870964307518,0.0,0.3250352526526426,0.6068776509166055,-2.7252458707142857,0.0461672586668899,0.0,0.951548678338204,0.0022840629949061,-2.34936,-0.9879819999999996,16.224226,1.887466173777613,1.115501534110776,1.5846067414973888,4.140183333333334,1.843920000000001,1.96,2.65616,1.503416,0.89,1.2392503518767148,0.0,0.0,0.2022527004339493,5.100413910000052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6305862197615477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671610798045029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Ba2SnO4,Ba2SnO4_Va_O2,4.331444,13.681369000000002,2.6748,0.0680870964307518,0.0,0.3250352526526426,0.6068776509166055,-2.7252458707142857,0.0461672586668899,0.0,0.951548678338204,0.0022840629949061,-2.3768933333333333,-1.658766,15.109464,1.642633941903793,0.8002327152784716,2.0113911022161712,4.140183333333334,1.843920000000001,3.44,-2.3768933333333333,-1.556107,0.89,2.0533727474190098,0.0,0.0,0.3002668858832743,4.832842359999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3672933541038081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324397600129175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Ba2ZrSnO6,Ba2ZrSnO6_Va_O1,4.604773,21.155005,4.017999999999999,0.2832614149703277,0.0,0.2501422679924953,0.4665963170371771,-3.1393169064999995,0.0267207887959657,0.0,0.9717058291801072,0.0015733820239269,-2.6320366666666666,-1.5243409999999995,15.595456,1.754670614918577,0.9585282887652484,1.9916725900670007,5.50229,2.605134,3.44,-2.6320366666666666,-1.346342,0.89,1.8969255760847008,0.0,0.0,0.333335875564917,5.56228585999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333320622158494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666653955525669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Ba3Sn2O7,Ba3Sn2O7_Va_O1,4.496518666666667,13.585708000000002,1.8136,0.027072700547255,0.0,0.2993637442372543,0.6735635552154906,-2.668890004166667,0.0308299075402955,0.0,0.9669241856597188,0.0022459067999857,-2.3733633333333333,-1.3349570000000002,13.360534,1.6219645555793023,0.8404241424828278,2.0470090583045017,4.252376666666667,2.36708,3.44,-2.3733633333333333,-1.3129679999999997,0.89,2.0293343475276915,0.0,0.0,0.3141754629630037,4.778640149999669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3532435765240595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3325809605129368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Ba3Sn2O7,Ba3Sn2O7_Va_O2,4.496518666666667,13.585708000000002,1.8136,0.027072700547255,0.0,0.2993637442372543,0.6735635552154906,-2.668890004166667,0.0308299075402955,0.0,0.9669241856597188,0.0022459067999857,-2.358616666666667,-1.5255400000000003,17.94947,1.921209673315856,1.5554826194869409,1.5845935952348356,4.252376666666667,2.36708,1.96,2.6651933333333333,2.2721600000000004,0.89,1.2995311952614723,0.0,0.0,0.2012266016085374,4.901047939999794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291792291082243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695941692832383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Ba3Sn2O7,Ba3Sn2O7_Va_O3,4.496518666666667,13.585708000000002,1.8136,0.027072700547255,0.0,0.2993637442372543,0.6735635552154906,-2.668890004166667,0.0308299075402955,0.0,0.9669241856597188,0.0022459067999857,-2.33259,-1.3129679999999997,13.242313,1.452868180760804,0.437143122360218,2.126196563023328,4.252376666666667,2.3673200000000003,3.44,-2.3733633333333333,-1.3349570000000002,0.89,1.854566969926319,0.0,0.0,0.3468925736453303,4.604860199999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244901364222061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3286172899324634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,BaSi3SnO9,BaSi3SnO9_Va_O1,2.895244,4.842478666666666,3.8655,0.0625323636949267,0.0,0.2218732607459397,0.7155943755591332,-3.09274423,0.0147485398522377,0.0,0.9836950720877404,0.0015563880600216,-1.84619,-1.470155,16.107363,1.0391494113092012,0.7655316218397598,2.471517089830876,4.0958266666666665,2.767054,1.96,2.722803333333333,1.837911,0.89,2.5173667705719365,0.0,0.0,0.4480300069857766,5.703134310000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271773474526931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581259788948635,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,BaSi3SnO9,BaSi3SnO9_Va_O2,2.895244,4.842478666666666,3.8655,0.0625323636949267,0.0,0.2218732607459397,0.7155943755591332,-3.09274423,0.0147485398522377,0.0,0.9836950720877404,0.0015563880600216,-1.7663433333333334,-1.3648619999999996,16.925074,0.9537526610215712,0.8435480363170611,2.493632487004916,3.1858466666666665,2.734617,1.9,3.1858466666666665,2.7254620000000003,1.9,3.489325961160364,0.0,0.0,0.4372733193617801,6.241471110000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789786384279472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4837480422102728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,BaSn(GeO3)3,BaSn(GeO3)3_Va_O1,3.283803666666667,6.0435723333333335,2.7438,0.0127246426552363,0.0,0.3283479044338492,0.6589274529109144,-2.351820577142858,0.0288479607667609,0.0,0.9691150098725876,0.002037029360651,-1.8021400000000003,-1.1878989999999998,18.261548,0.9946961907854552,0.6721989255369301,2.541033501659523,3.31184,2.263533,3.44,-1.9200366666666664,-1.2811880000000002,2.01,2.776456614012848,0.0,0.0,0.4355902038680493,3.793590529999969,0.0,0.0,0.4823915016035688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0820182945283818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,BaSn(GeO3)3,BaSn(GeO3)3_Va_O2,3.283803666666667,6.0435723333333335,2.7438,0.0127246426552363,0.0,0.3283479044338492,0.6589274529109144,-2.351820577142858,0.0288479607667609,0.0,0.9691150098725876,0.002037029360651,-1.920036666666667,-1.2835260000000002,16.486859,1.0694139691061595,0.7178611341624164,2.502816582503572,4.216406666666667,2.694342,3.44,-1.8021400000000003,-1.1100789999999998,0.89,2.1198972465106536,0.0,0.0,0.448871564732642,3.8982678500000336,0.0,0.0,0.2588042491982155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1256575194024757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
