Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
13,Al2ZnO4,Al2ZnO4_Va_O1,3.365741,5.302893,4.4462,0.0,0.0,0.1640679780733288,0.8359320219266716,-3.021072628571428,0.1000132654785172,0.0,0.8967123907797427,0.0032743437417401,-1.94414,-1.2463680000000004,10.978704,1.4015334006426148,0.8650482418892395,2.1027476221326715,2.85495,1.862317,1.65,2.06666,1.1493070000000003,1.61,2.56964689805674,0.0,0.0,0.2641048168338948,6.6551131699997175,0.0,0.0,0.0,0.4999999999999999,0.0,0.2358951831661052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Ba2ZnGe2O7,Ba2ZnGe2O7_Va_O1,3.376021,5.736875,3.2457,0.0260907599143465,0.0,0.3568466986311123,0.6170625414545409,-2.580144717916667,0.0903724590971685,0.0,0.906996816367409,0.0026307245354226,-2.0840666666666667,-1.1624610000000004,15.426598,1.5370521334567555,1.009206622664429,2.134064564987292,3.0247433333333333,1.954867,2.01,2.6401,1.8058099999999992,0.89,2.977796606527173,0.0,0.0,0.2834381216571864,4.265697030000078,0.0,0.0,0.4654440667513095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511178115915041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Ba2ZnGe2O7,Ba2ZnGe2O7_Va_O2,3.376021,5.736875,3.2457,0.0260907599143465,0.0,0.3568466986311123,0.6170625414545409,-2.580144717916667,0.0903724590971685,0.0,0.906996816367409,0.0026307245354226,-1.8856366666666664,-1.3520979999999998,17.863521,1.377319088648953,0.9258541646741056,1.966565134262076,3.0247433333333333,1.949556,2.01,2.6401,1.7952960000000004,0.89,1.6304485244591906,0.0,0.0,0.2954417521842458,4.0776619199999775,0.0,0.0,0.2655242946228919,0.0,0.0,0.0339492844929069,0.0,0.0,0.0,0.0,0.0,0.0,0.4050846686999552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Ba2ZnGe2O7,Ba2ZnGe2O7_Va_O3,3.376021,5.736875,3.2457,0.0260907599143465,0.0,0.3568466986311123,0.6170625414545409,-2.580144717916667,0.0903724590971685,0.0,0.906996816367409,0.0026307245354226,-1.88213,-1.2119600000000004,17.632173,1.3088808760225936,0.8295636960171922,2.0692497406112067,3.0247433333333333,1.949556,2.01,2.0541766666666663,1.1763670000000008,0.89,1.897167736846968,0.0,0.0,0.2831774516034081,4.455102389999988,0.0,0.0,0.2500428277944831,0.0,0.0,0.2330253577535465,0.0,0.0,0.0,0.0,0.0,0.0,0.2337543628485621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Ba2ZnO3,Ba2ZnO3_Va_O1,4.366173333333333,13.765976333333333,3.0649,0.7147481456256246,0.0,0.174435696682881,0.1108161576914947,-2.5343150229166667,0.1214526949963962,0.0,0.8738639285030301,0.0046833765005739,-2.45215,-1.5303069999999996,17.770157,1.9232811314877605,1.2324027983220724,1.3497145875041263,2.70807,1.855995,1.65,1.8162266666666669,0.9782980000000006,0.89,1.470592560892128,0.0,0.0,0.1114166514936441,5.8576764199999705,0.0,0.0,0.0,0.0,0.0,0.2310554292043863,0.0,0.0,0.0,0.0,0.0,0.0,0.6575279193019696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Ba2ZnO3,Ba2ZnO3_Va_O2,4.366173333333333,13.765976333333333,3.0649,0.7147481456256246,0.0,0.174435696682881,0.1108161576914947,-2.5343150229166667,0.1214526949963962,0.0,0.8738639285030301,0.0046833765005739,-2.3337733333333333,-1.4015339999999998,15.268673,1.922159432106712,1.1799414372061452,1.4211515156682528,2.70807,1.855995,1.65,1.8162266666666669,0.9782980000000006,0.89,1.8679146490697784,0.0,0.0,0.0748764154198147,5.419376429999952,0.0,0.0,0.0,0.0,0.0,0.4476534951943751,0.0,0.0,0.0,0.0,0.0,0.0,0.4774700893858103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Ba2ZnO3,Ba2ZnO3_Va_O3,4.366173333333333,13.765976333333333,3.0649,0.7147481456256246,0.0,0.174435696682881,0.1108161576914947,-2.5343150229166667,0.1214526949963962,0.0,0.8738639285030301,0.0046833765005739,-2.31145,-1.5150100000000002,16.220604,1.840926377841002,1.1314549029696708,1.4592554425135766,2.70807,1.855995,1.65,1.8162266666666669,0.9782980000000006,0.89,1.948191632159455,0.0,0.0,0.091280762453701,5.245235299999999,0.0,0.0,0.0,0.0,0.0,0.4427493398113671,0.0,0.0,0.0,0.0,0.0,0.0,0.4659698977349319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Ba2ZnO3,Ba2ZnO3_Va_O4,4.366173333333333,13.765976333333333,3.0649,0.7147481456256246,0.0,0.174435696682881,0.1108161576914947,-2.5343150229166667,0.1214526949963962,0.0,0.8738639285030301,0.0046833765005739,-2.4377866666666663,-1.586118,18.22017,1.9578123123597728,1.2640049682970584,1.3337785289722208,2.70807,1.855995,1.65,1.8162266666666669,0.9782980000000006,0.89,1.5042412547970068,0.0,0.0,0.1054070237974871,5.785309399999969,0.0,0.0,0.0,0.0,0.0,0.2302508135376692,0.0,0.0,0.0,0.0,0.0,0.0,0.6643421626648437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Ba2ZnSi2O7,Ba2ZnSi2O7_Va_O1,3.185074,5.7802283333333335,4.2606,0.0618067365868249,0.0,0.2221233636446396,0.716069899768535,-3.146198448333334,0.0619579610655493,0.0,0.934413960958179,0.003628077976272,-1.84188,-1.3853859999999996,15.432484,1.259442700367548,0.9539393453937284,2.051467590710863,2.8874133333333334,2.734667,1.9,2.002213333333333,1.1921359999999996,0.89,2.3861781925223613,0.0,0.0,0.2878799211263277,5.972790009999594,0.0,0.0,0.0,0.0,0.0,0.2281077801813449,0.0,0.0,0.0,0.0,0.0,0.0,0.232515388889451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2514969098028763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Ba2ZnSi2O7,Ba2ZnSi2O7_Va_O2,3.185074,5.7802283333333335,4.2606,0.0618067365868249,0.0,0.2221233636446396,0.716069899768535,-3.146198448333334,0.0619579610655493,0.0,0.934413960958179,0.003628077976272,-1.8706666666666667,-1.5001639999999998,15.402228,1.3222061555166875,0.995151288333276,2.01142160092191,2.8874133333333334,2.734538,1.9,2.002213333333333,1.1921359999999996,0.89,2.4251758695198866,0.0,0.0,0.2753041190622453,6.019197599999993,0.0,0.0,0.0,0.0,0.0,0.2225738164952075,0.0,0.0,0.0,0.0,0.0,0.0,0.2543596913961842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247762373046363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
