Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
126,Ba2ZrO4,Ba2ZrO4_Va_O2,4.562059666666667,32.423424,3.0446,0.9556968766859456,0.0,0.0429774848798727,0.0013256384341818,-3.430685784285714,0.0290724925441886,0.0,0.9666099498057528,0.0043175576500586,-2.8262366666666665,-1.6045119999999995,14.995837,2.0303270397218016,0.7791720242258745,1.8096843820110928,5.660013333333335,1.6965369999999993,3.44,-2.8262366666666665,-1.5856960000000004,0.89,2.053489308458927,0.0,0.0,0.3028629664556644,6.945108560000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3621738118417258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349632217026096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Ba2ZrSnO6,Ba2ZrSnO6_Va_O1,4.604773,21.155005,4.017999999999999,0.2832614149703277,0.0,0.2501422679924953,0.4665963170371771,-3.1393169064999995,0.0267207887959657,0.0,0.9717058291801072,0.0015733820239269,-2.6320366666666666,-1.5243409999999995,15.595456,1.754670614918577,0.9585282887652484,1.9916725900670007,5.50229,2.605134,3.44,-2.6320366666666666,-1.346342,0.89,1.8969255760847008,0.0,0.0,0.333335875564917,5.56228585999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333320622158494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666653955525669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Ba3Zr2O7,Ba3Zr2O7_Va_O1,4.683128,34.610259666666664,3.1234,0.9607407896468514,0.0,0.0384418400742784,0.0008173702788701,-3.519514509583333,0.0238017811744936,0.0,0.9731215604236894,0.0030766584018169,-2.8679566666666663,-1.3832719999999998,13.928178,1.9978254558218127,0.8827073761022514,1.840911975424948,5.823316666666667,2.541402,3.44,-2.886036666666667,-1.4324950000000003,0.89,1.876190285359766,0.0,0.0,0.3153181666672996,7.29612564999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509303550978517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337514782348486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Ba3Zr2O7,Ba3Zr2O7_Va_O3,4.683128,34.610259666666664,3.1234,0.9607407896468514,0.0,0.0384418400742784,0.0008173702788701,-3.519514509583333,0.0238017811744936,0.0,0.9731215604236894,0.0030766584018169,-2.677993333333333,-1.5231519999999996,18.486598,2.1051476024982048,1.550975799001765,1.4761968548904634,5.823316666666667,2.541402,1.33,2.675026666666667,2.2274520000000004,0.89,1.1063306031570983,0.0,0.0,0.200665661361647,6.859868349999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6300174785968452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1693168600415077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,BaZr(BO3)2,BaZr(BO3)2_Va_O1,3.5277923333333328,9.362990333333334,4.2949,0.8194604131701478,0.0,0.1652128379759244,0.0153267488539282,-3.3346572178333345,0.0225378178517761,0.0,0.9692668082791148,0.0081953738691088,-2.1486533333333333,-1.231707,14.284446,1.3855025330484891,0.7133582621120633,2.2162182751827144,5.277016666666667,2.3120980000000007,3.44,-2.1486566666666667,-1.0135240000000003,0.89,2.965335493333726,0.0,0.0,0.3432328819490537,7.019998969999856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3283835590254728,0.1617168923588063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,BaZr(SiO3)3,BaZr(SiO3)3_Va_O1,3.041365666666666,6.123559666666666,4.793699999999999,0.831742104702749,0.0,0.1263275229964537,0.0419303723007972,-3.464304437857144,0.0123720524054394,0.0,0.985475425965298,0.0021525216292622,-2.07582,-1.4439830000000002,16.473044,1.1839617749833926,0.7613984824523681,2.3606709816439544,5.019843333333333,2.828052,1.9,2.72594,1.805285,0.89,2.3806783680528767,0.0,0.0,0.4462636782680227,6.518103669999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302723592958417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567972957694689,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,BaZr(SiO3)3,BaZr(SiO3)3_Va_O2,3.041365666666666,6.123559666666666,4.793699999999999,0.831742104702749,0.0,0.1263275229964537,0.0419303723007972,-3.464304437857144,0.0123720524054394,0.0,0.985475425965298,0.0021525216292622,-1.8137966666666667,-1.455088,16.957766,0.9452513996253358,0.9103257550468516,2.505324703378757,3.383506666666667,2.920292,1.9,3.383506666666667,2.828052,1.9,3.41565774945859,0.0,0.0,0.4408059767972878,6.228621779999921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0727886147416499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864054084610623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,CaZrO3,CaZrO3_Va_O1,4.671968666666666,33.175129,4.0125,0.9226810506848496,0.0,0.0744015565871551,0.0029173927279951,-3.6701750695,0.0498428732252688,0.0,0.941085217088547,0.0090719096861838,-2.7412666666666667,-1.3597029999999997,13.858119,1.821244680560849,0.9065741405552484,1.9252790673894824,5.812273333333334,2.532748,1.33,2.40946,1.5605960000000003,1.0,1.5729823939337693,0.0,0.0,0.3341886646632481,7.55067654999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329061062120336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329052291247183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,CaZrO3,CaZrO3_Va_O2,4.671968666666666,33.175129,4.0125,0.9226810506848496,0.0,0.0744015565871551,0.0029173927279951,-3.6701750695,0.0498428732252688,0.0,0.941085217088547,0.0090719096861838,-2.7392033333333337,-1.3605929999999995,13.921227,1.7927127671932,0.8925850408510104,1.9347020726644093,5.812273333333334,2.532748,1.33,2.40946,1.5605960000000003,1.0,1.5560891090570892,0.0,0.0,0.3383304541650967,7.539003350000152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308338958301364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308356500047668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Cs2Zr(SiO3)3,Cs2Zr(SiO3)3_Va_O1,3.0953966666666672,5.979477,5.029299999999999,0.8342958186154339,0.0,0.132967309787944,0.032736871596621,-3.223948679390805,0.009225585091873,0.0,0.9869106754922116,0.0038637394159156,-2.104073333333333,-1.434322,16.40597,1.248498424617585,0.7804241452770425,2.1881487185987463,5.32112,2.663527,1.9,1.3825566666666669,1.0694600000000003,0.79,2.203973175656276,0.0,0.0,0.3849897427672493,6.410125720000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593927029419238,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889508876241604,0.0,0.0,0.0
