Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
2,Ag2BiO3,Ag2BiO3_Va_O3,12.922059666666668,11.664903333333331,0.4495999999999993,0.1048711605474428,0.0,0.6393214486049811,0.2558073908475758,-0.9207718288888884,0.4197220105353449,0.0,0.4886393877144873,0.0916386017501673,-2.24946,-1.2783119999999997,13.43845,1.5759115282654594,0.8777926616079049,2.2652260903669967,5.072610000000001,3.074522,2.02,1.0425766666666667,0.5498969999999996,1.93,3.5244642768484287,0.3143966550106541,0.482338185111175,0.2032651598781708,2.222248000000386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Al2Ge2O7,Al2Ge2O7_Va_O3,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.73212,-1.1317709999999996,15.599957,0.7798758860914605,0.4750407924435068,2.72604428315262,3.458433333333333,2.216959,3.44,-1.7285700000000002,-1.207008,2.01,2.596100957120228,0.0,0.0,0.5069556605513958,3.8145812599999633,0.0,0.0,0.4707885608589151,0.0222557785896891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Al2PbO4,Al2PbO4_Va_O3,3.708021,14.354939333333334,3.8921,0.0319259803237403,0.0,0.8270801051891365,0.1409939144871234,-2.89378359,0.0049845797924228,0.0,0.8477991894298239,0.1472162307777531,-2.03847,-1.639443,17.674985,1.4347926158008484,1.1369087586683448,2.271189956610316,3.0406766666666667,2.431108,3.44,-2.049193333333333,-1.5636150000000004,1.61,2.347759040850545,0.0,0.0,0.2708367931656517,6.624809989999799,0.0,0.0,0.0,0.4992206719493859,0.2299425348849624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Al4Bi2O9,Al4Bi2O9_Va_O4,4.355632666666667,9.627726,2.6141999999999994,0.0584356369465538,0.0,0.836625448726243,0.1049389143272033,-2.857885394000002,0.0088734408304733,0.0,0.929458836385299,0.0616677227842271,-2.18994,-1.4380559999999996,17.358706,1.8668170062144536,1.266310791219237,2.177139080811319,4.146556666666666,2.251777,2.02,2.8327466666666665,2.205652,1.61,2.1832794803488595,0.2354586168323036,0.0,0.2571590425738109,6.636335620000304,0.0,0.0,0.0,0.5073823405938855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AlSbO4,AlSbO4_Va_O2,4.032906333333333,6.779495333333333,1.722599999999999,0.0134332419861179,0.0,0.3219039941603506,0.6646627638535314,-2.5433669000000005,0.0016598777797714,0.0,0.994374346236987,0.0039657759832415,-1.9481333333333333,-1.500165,12.858092,1.0739639735779931,0.8115828198378765,2.672896490339031,4.604936666666666,3.446394,3.44,-2.02018,-1.5195379999999998,1.61,3.6551000107041887,0.0,0.0,0.5017358451610477,4.367477630000062,0.0,0.0,0.0,0.1693553055336941,0.0,0.0,0.0,0.0,0.3289088493052581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,As2O3,As2O3_Va_O3,3.9215056666666666,4.464190666666667,3.3312,0.065577095306823,0.0,0.7470505914536735,0.1873723132395036,-1.6290845505,0.016490419666487,0.0,0.8322899784503707,0.1512196018831425,-1.9551366666666663,-1.011864,17.333401,1.0775313244838869,0.5816154041672956,2.6571443525075127,2.93157,1.582334,3.44,-1.9838866666666668,-1.0751470000000003,2.18,3.7018856453418607,0.0,0.0,0.3786859940535814,3.769753339999976,0.0,0.0,0.0,0.0,0.0,0.0,0.6213140059464185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,As2PbO4,As2PbO4_Va_O1,4.637485333333333,6.2119670000000005,2.6284999999999994,0.0469302204595808,0.0,0.7780071240985784,0.1750626554418407,-1.6492657325,0.0208529366963734,0.0,0.8058020111694668,0.1733450521341586,-2.05984,-1.212116,17.58074,1.4009232736378627,0.8555398981300022,2.5488496637752465,2.816933333333333,1.863072,2.18,2.717153333333333,1.5418850000000002,2.18,3.6606861531341286,0.0,0.0,0.2827370067814834,3.853035769999914,0.0,0.0,0.0,0.0,0.0840069015371806,0.0,0.6332560916813361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AsAuO4,AsAuO4_Va_O1,4.259445666666667,2.0110473333333334,1.9049,0.4913433470728428,0.0,0.4496700337559501,0.0589866191712071,-1.1668046675,0.3399873611216076,0.0,0.6552541790049369,0.0047584598734555,-1.5707266666666666,-0.9913499999999996,17.385725,0.7257628409284507,0.4651387775978381,2.913885264883289,4.080376666666667,2.600794,3.44,-1.5707266666666666,-1.0227019999999998,2.18,3.4101676826540146,0.0,0.0,0.5193193548191102,2.488689330000065,0.0,0.2209524383644724,0.0,0.0,0.0,0.0,0.2597282068164173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,B2O3,B2O3_Va_O2,2.8887676666666664,2.7730753333333333,6.3479,0.0,0.0,0.9739119048600712,0.026088095139929,-2.79805631,0.0,0.0,0.9824703643146876,0.0175296356853124,-1.6404766666666666,-1.4469390000000004,12.505147,1.1453333310693463,0.9809845903659732,2.4919401604235785,2.4816733333333336,2.195335,3.44,-1.661436666666667,-1.500661,2.04,3.2111856187427152,0.0,0.0,0.3228144003025558,6.372273070000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771855996974443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,B6O,B6O_Va_O1,5.823695,0.6128313333333334,1.8178,0.0,0.0,0.5609502218115265,0.4390497781884733,-0.8052726049999999,0.0,0.0,0.9473007121417548,0.0526992878582449,-1.84614,-1.737545,11.818782,0.4415541562740215,0.2676306084705118,2.161549990366169,0.7461266666666667,0.5219860000000001,3.44,-1.84614,-1.7368129999999995,2.04,6.843287776955761,0.0,0.0,0.0868214216901202,6.615020370000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9131785783098798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
