index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
1,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Ag2BiO3,O1,12,1.636971740000158,1.8723299503326416
2,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Ag2BiO3,O1,13,1.636971740000158,1.8723299503326416
3,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Ag2BiO3,O1,14,1.636971740000158,1.8723299503326416
4,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Ag2BiO3,O1,15,1.636971740000158,1.8723299503326416
5,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,16,5.416601799999976,4.773100852966309
6,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,17,5.416601799999976,4.773100852966309
7,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,18,5.416601799999976,4.773100852966309
8,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,19,5.416601799999976,4.773100852966309
9,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,30,5.416601799999976,4.773100852966309
10,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,31,5.416601799999976,4.77310037612915
11,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,32,5.416601799999976,4.773100852966309
12,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2Ge2O7,O1,33,5.416601799999976,4.773100852966309
13,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2PbO4,O1,12,6.395135430000105,6.299499988555908
14,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2PbO4,O1,13,6.395135430000105,6.299499988555908
15,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2PbO4,O1,20,6.395135430000105,6.299499988555908
16,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al2PbO4,O1,21,6.395135430000105,6.299499988555908
17,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al4Bi2O9,O2,16,7.171021660000301,5.796652793884277
18,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al4Bi2O9,O2,17,7.171021660000301,5.796652793884277
19,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al4Bi2O9,O2,18,7.171021660000301,5.796652793884277
20,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Al4Bi2O9,O2,19,7.171021660000301,5.796652793884277
21,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,6,6.51019906,6.012796401977539
22,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,7,6.51019906,6.012796401977539
23,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,8,6.51019906,6.012796401977539
24,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,9,6.51019906,6.012796401977539
25,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,10,6.51019906,6.012796401977539
26,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,AlCuO2,O1,11,6.51019906,6.012796401977539
27,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2O3,O1,8,3.803732819999718,2.244048595428467
28,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2O3,O1,9,3.803732819999718,2.244048595428467
29,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2O3,O1,10,3.803732819999718,2.244048595428467
30,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2O3,O1,11,3.803732819999718,2.244048595428467
31,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2Pb3O8,O3,18,3.1593086699998683,4.005682945251465
32,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2Pb3O8,O3,19,3.1593086699998683,4.005682945251465
33,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2Pb3O8,O3,20,3.1593086699998683,4.005682945251465
34,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2Pb3O8,O3,21,3.1593086699998683,4.005682945251465
35,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2PbO4,O4,24,4.114966009999998,2.7493999004364014
36,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2PbO4,O4,25,4.114966009999998,2.7494003772735596
37,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2PbO4,O4,26,4.114966009999998,2.7494003772735596
38,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,As2PbO4,O4,27,4.114966009999998,2.7494003772735596
39,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Au2O3,O2,18,3.179896900000026,1.537372350692749
40,.\S8_compare_data\cgcnn\split_by_vacancies\0\trainloss0.5379404251459362_testmaeloss0.5766656883212572_modeldict.pth,Au2O3,O2,19,3.179896900000026,1.537372350692749
