index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
1,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O1,8,3.803732819999718,4.925233840942383
2,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O1,9,3.803732819999718,4.925233840942383
3,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O1,10,3.803732819999718,4.925233840942383
4,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O1,11,3.803732819999718,4.925233840942383
5,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O2,12,3.756670709999876,4.836164951324463
6,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O2,13,3.756670709999876,4.836164951324463
7,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O2,14,3.756670709999876,4.836164951324463
8,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O2,15,3.756670709999876,4.836164951324463
9,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O3,16,3.769753339999976,4.815891265869141
10,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O3,17,3.769753339999976,4.815891265869141
11,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O3,18,3.769753339999976,4.815891265869141
12,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2O3,O3,19,3.769753339999976,4.815891265869141
13,.\S8_compare_data\ovgnn_only_structure\split_by_compounds\0\trainloss1.035721329007575_testmaeloss1.1749454584975023_modeldict.pth,As2Pb3O8,O1,10,2.7753270799997924,4.240810871124268
