,train_loss,test_loss_mae,learning_rate
0,1.2757516291546436,None,0.001
1,1.2055984055853126,1.1850168035629598,0.001
2,1.1614448909275628,1.5694911690319286,0.001
3,1.1540844317218466,1.2176000995431993,0.001
4,1.1510452290838078,1.2183427287933024,0.001
5,1.1483207254026708,1.128673978030363,0.001
6,1.1388687845768435,1.161255007759135,0.001
7,1.1386294635103318,1.247222619898179,0.001
8,1.1376985723490107,1.2414803779061465,0.001
9,1.1373271849812379,1.1924128538784495,0.001
10,1.1322035656922969,1.2685289300061802,0.001
11,1.131128821312499,1.5348663317328468,0.001
12,1.130125444829254,1.1044141149775868,0.001
13,1.1297894500694785,1.069353826861968,0.001
14,1.1242926061279426,1.4189763464392189,0.001
15,1.1255238351895827,None,0.001
16,1.1266223570677156,None,0.001
17,1.120576298110833,1.3508390927697247,0.001
18,1.1207974906367597,None,0.001
19,1.1193384458180293,1.1063623826771496,0.001
20,1.1218594655426057,None,0.001
21,1.1185406768716835,1.226144856628887,0.001
22,1.119937394537331,None,0.001
23,1.1152135145000541,1.1986115562087074,0.001
24,1.1183074905050734,None,0.001
25,1.1164940052254255,None,0.001
26,1.1135758009571857,1.3074328599766614,0.001
27,1.1140489215998686,None,0.001
28,1.1142191916557163,None,0.001
29,1.113637874023943,1.1499914619374403,0.001
30,1.1137257015058237,None,0.001
31,1.1139279792979202,None,0.001
32,1.1105779503499058,1.203155824207367,0.001
33,1.1137992363987548,None,0.001
34,1.1084509909531026,1.19396710172694,0.001
35,1.1038489439606751,1.2789207505669824,0.001
36,1.10278689479055,1.087013831431853,0.001
37,1.0992736951241282,1.1436315035437519,0.001
38,1.1045775230876824,None,0.001
39,1.1003879522840434,1.0989250869036995,0.001
40,1.0987634244311268,1.082818702580457,0.001
41,1.1058444010866957,None,0.001
42,1.1028154408116841,None,0.001
43,1.0966396899018345,1.1448395551844714,0.001
44,1.1020375794554529,None,0.001
45,1.1009573964773558,None,0.001
46,1.0985949249146605,None,0.001
47,1.0990372369287718,None,0.001
48,1.099223472972921,None,0.001
49,1.0974492822926678,1.4900227275124207,0.001
50,1.08664891655971,1.0744306811674393,0.0005
51,1.0800940542678081,1.1441437025121188,0.0005
52,1.0772607969431243,1.050740609513247,0.0005
53,1.0759965774288809,1.1530567484105971,0.0005
54,1.072203667908172,1.105498823890074,0.0005
55,1.0744948785602417,None,0.0005
56,1.0771616872638947,None,0.0005
57,1.0720045134834708,1.1717698484818566,0.0005
58,1.0699531762930943,1.109707687627823,0.0005
59,1.0724964635736762,1.1073256874466961,0.0005
60,1.0681599985133434,1.085870911730802,0.0005
61,1.0692516296912953,None,0.0005
62,1.0695523622256085,None,0.0005
63,1.067997727762065,1.0866370360481548,0.0005
64,1.0598995959699953,1.0211010189617382,0.0005
65,1.0649434849525354,None,0.0005
66,1.0617358405376673,None,0.0005
67,1.0685181339833836,None,0.0005
68,1.058581774901806,1.0714451527213031,0.0005
69,1.0612875961014048,1.1235834484431833,0.0005
70,1.064651134671083,None,0.0005
71,1.0627161980515387,None,0.0005
72,1.0574225036756852,1.065402188721825,0.0005
73,1.055388720754673,1.1364345544162282,0.0005
74,1.06027297419171,None,0.0005
75,1.0632781971500658,None,0.0005
76,1.0608197731397118,None,0.0005
77,1.058158354040096,None,0.0005
78,1.0553093436740502,0.9936341582772567,0.0005
79,1.0590969909741226,1.058190183206038,0.0005
80,1.047382353165353,1.0409507770589328,0.00025
81,1.0474636666030426,None,0.00025
82,1.0478048623154246,None,0.00025
83,1.0491353026656218,None,0.00025
84,1.0411206401679782,1.0489570584526673,0.00025
85,1.050273391652729,None,0.00025
86,1.0448093084065826,None,0.00025
87,1.0466518869023662,None,0.00025
88,1.0469943442085916,None,0.00025
89,1.0527554025357673,1.0615812606990018,0.00025
90,1.042443763050418,None,0.00025
91,1.0409557786770822,1.0648947332632095,0.000125
92,1.031816254357707,1.1211755954645535,0.000125
93,1.0311894119583946,1.0252463961030072,0.000125
94,1.0374158103504678,None,0.000125
95,1.0327395543991638,None,0.000125
96,1.0352089888617722,None,0.000125
97,1.041175886793318,None,0.000125
98,1.0341632927278972,None,0.000125
99,1.034320906008357,1.0372804380993155,0.0001
100,1.0358800633849183,None,0.0001
101,1.0303015608448138,1.0604222585810696,0.0001
102,1.0413733493198047,None,0.0001
103,1.030828973531219,None,0.0001
104,1.028715633699136,1.0095661225165913,0.0001
105,1.0280320884477427,1.0495187777248933,0.0001
106,1.0317364502574795,None,0.0001
107,1.0313590467942273,None,0.0001
108,1.0280796749899301,None,0.0001
109,1.0302398729609972,1.070700013701291,0.0001
110,1.032695642619842,None,0.0001
111,1.0333561970113951,None,0.0001
112,1.0280100505901442,1.05437189244969,0.0001
113,1.025736172187488,1.0449124150735172,0.0001
114,1.0246969411623486,1.0673921318615185,0.0001
115,1.0315912408674157,None,0.0001
116,1.0256697534674737,None,0.0001
117,1.0285078515126052,None,0.0001
118,1.0272337280082569,None,0.0001
119,1.0283101043287846,1.0640059868919658,0.0001
120,1.0288844470157852,None,0.0001
121,1.029923812993569,None,0.0001
122,1.0301267186968657,None,0.0001
123,1.03207007084538,None,0.0001
124,1.0278222043972942,None,0.0001
125,1.0294817427500105,None,0.0001
126,1.0314317431224744,None,0.0001
127,1.0267144772769532,None,0.0001
128,1.0238032911679038,1.0829837857720686,0.0001
129,1.0216609660045122,1.0845405832331447,0.0001
130,1.0232761445727627,None,0.0001
131,1.0225209635105497,None,0.0001
132,1.0237699581503112,None,0.0001
133,1.0212249648327387,1.0670970589081872,0.0001
134,1.0267343274466667,None,0.0001
135,1.0246264441992885,None,0.0001
136,1.029029389625708,None,0.0001
137,1.0280080285771285,None,0.0001
138,1.0223280783267488,None,0.0001
139,1.0278621842778846,1.068214470052464,0.0001
140,1.0282632243137615,None,0.0001
141,1.0251091554099359,None,0.0001
142,1.0245578070607633,None,0.0001
143,1.0261070004645327,None,0.0001
144,1.021680309975794,None,0.0001
