,train_loss,test_loss_mae,learning_rate
0,1.252745426720493,None,0.001
1,1.173136941152115,1.251027483206529,0.001
2,1.1602499327274447,1.1386999900524433,0.001
3,1.15760226882596,1.5901248088249793,0.001
4,1.1584284788635455,None,0.001
5,1.152062693422532,1.491749366124471,0.001
6,1.1479665995805453,1.1464341542659662,0.001
7,1.1480514809817879,None,0.001
8,1.1415511434463055,1.0654855844302056,0.001
9,1.1399509331851314,1.3438500349338238,0.001
10,1.1353784735301822,1.4497413329589062,0.001
11,1.137362111858321,None,0.001
12,1.1350716091979745,1.043993436373197,0.001
13,1.1331005914013532,1.1545948493175018,0.001
14,1.1323744226672978,1.3476737431990795,0.001
15,1.1302418958235942,1.1803369644360664,0.001
16,1.1292727001544636,1.00291152489491,0.001
17,1.1205679655817007,1.3997108508379033,0.001
18,1.1243485783695157,None,0.001
19,1.1230999097467969,1.3641244784379616,0.001
20,1.1253422180397588,None,0.001
21,1.1183855386180979,1.1433495588791676,0.001
22,1.1219659994281108,None,0.001
23,1.1189616603887447,None,0.001
24,1.116961991024056,1.0816957033597505,0.001
25,1.1201678321255413,None,0.001
26,1.1144052385041943,1.3296424181033404,0.001
27,1.116974724047143,None,0.001
28,1.1146454951579605,None,0.001
29,1.113258595041454,1.0708970167698004,0.001
30,1.1138796751254982,None,0.001
31,1.1158421465870234,None,0.001
32,1.1136758403129046,None,0.001
33,1.115390259605705,None,0.001
34,1.1087610670862493,1.1922360077882423,0.001
35,1.1148238896259095,None,0.001
36,1.1093952566034464,None,0.001
37,1.1143055281673293,None,0.001
38,1.1095526749944835,None,0.001
39,1.1100656440512542,1.4307128588358562,0.001
40,1.1070912138258648,1.1851353920423067,0.001
41,1.1114805938668186,None,0.001
42,1.1134407505132948,None,0.001
43,1.1101622708417005,None,0.001
44,1.1106592240312267,None,0.001
45,1.1087863681974761,None,0.001
46,1.1138716195549343,None,0.001
47,1.0966425457660085,1.126815481063647,0.0005
48,1.095271292671172,1.091768096654843,0.0005
49,1.088475573169348,1.2578911567345643,0.0005
50,1.0905359330865692,None,0.0005
51,1.0901633919841816,None,0.0005
52,1.0913234112904981,None,0.0005
53,1.0872180822688822,1.3214919475408702,0.0005
54,1.0872560316937943,None,0.0005
55,1.0852751202600086,1.3119627145620494,0.0005
56,1.0841230393149601,1.3164767026901245,0.0005
57,1.086088550548853,None,0.0005
58,1.0823656177265915,1.3805710658048973,0.0005
59,1.089746218833464,1.292040228843689,0.0005
60,1.0846034897033423,None,0.0005
61,1.0856389223182497,None,0.0005
62,1.0861785629575944,None,0.0005
63,1.0847007555078385,None,0.0005
64,1.0849579154372522,None,0.0005
65,1.0742488359827551,1.1406634877889583,0.00025
66,1.0746165385444342,None,0.00025
67,1.0722761597318524,1.1707408947822375,0.00025
68,1.0696160964352275,1.117097055300688,0.00025
69,1.0713315202247595,1.0876327111170843,0.00025
70,1.0701806250339172,None,0.00025
71,1.066678141445998,1.1802059136904204,0.00025
72,1.070048225335671,None,0.00025
73,1.06963318166996,None,0.00025
74,1.0713646619637012,None,0.00025
75,1.0621913111495351,1.071670351884304,0.00025
76,1.0678352815600698,None,0.00025
77,1.0637989407172144,None,0.00025
78,1.0645352244909392,None,0.00025
79,1.0671994475643523,1.2237782570031972,0.00025
80,1.0674765242434794,None,0.00025
81,1.0629919627783442,None,0.00025
82,1.0605615817666652,1.148858437171349,0.000125
83,1.0606574760191723,None,0.000125
84,1.0571320794735464,1.1381862958272297,0.000125
85,1.0562881773483639,1.2046832121335542,0.000125
86,1.0566855999665692,None,0.000125
87,1.0534244086903368,1.1358398290780873,0.000125
88,1.057970683043388,None,0.000125
89,1.0543783001270044,1.1032771926659803,0.000125
90,1.0551920773985906,None,0.000125
91,1.0550557356970411,None,0.000125
92,1.0573153581352812,None,0.000125
93,1.0496351547854756,1.1139428157072802,0.000125
94,1.0538871781765697,None,0.000125
95,1.0521897794170996,None,0.000125
96,1.0538383431741727,None,0.000125
97,1.0535087334804873,None,0.000125
98,1.0498448886998435,None,0.000125
99,1.052793777008338,1.1003637130443866,0.000125
100,1.0521810161149674,None,0.0001
101,1.0529927867156632,None,0.0001
