,train_loss,test_loss_mae,learning_rate
0,1.2626014041358695,None,0.001
1,1.1668859937005847,1.2330878908198197,0.001
2,1.1614009500522577,1.3152401918634355,0.001
3,1.1491773098112281,1.295044621093662,0.001
4,1.1480281096096725,1.2448536599487607,0.001
5,1.1409444402418591,1.2498406103061883,0.001
6,1.1433095883979196,None,0.001
7,1.1403561451510473,1.2865703078431785,0.001
8,1.13414584543829,1.3337244027136186,0.001
9,1.132683947198196,1.4555838787575335,0.001
10,1.1282779658377458,1.4205450685648784,0.001
11,1.1251698288142151,1.5734443678298147,0.001
12,1.1241012198505016,1.3691465029802903,0.001
13,1.120864919509343,1.4421859262802652,0.001
14,1.121648734397171,None,0.001
15,1.1162407903165454,1.4161341748088352,0.001
16,1.1152299280922562,1.314972479025261,0.001
17,1.1067120206785084,1.3262049737440107,0.001
18,1.107826840055939,None,0.001
19,1.1038082364903723,1.4239081415352357,0.001
20,1.1033653844537115,1.5536252346620136,0.001
21,1.0979052625816903,1.1584676362733668,0.001
22,1.1027507406185688,None,0.001
23,1.10585808610666,None,0.001
24,1.1007517889222371,None,0.001
25,1.105344432636685,None,0.001
26,1.0968649544296225,1.580974495587671,0.001
27,1.0995823848565396,None,0.001
28,1.1024459460708154,None,0.001
29,1.0965070310650598,1.2377873458815172,0.001
30,1.1015041157088683,None,0.001
31,1.0963325806545061,1.290076144837469,0.001
32,1.0964653830685978,None,0.001
33,1.0938935927307398,1.274847626882487,0.0005
34,1.0839551250996784,1.5197468848754783,0.0005
35,1.0842162279055798,None,0.0005
36,1.0770156466455445,1.389762588544968,0.0005
37,1.086251168040515,None,0.0005
38,1.078494843016834,None,0.0005
39,1.076405016045068,1.313469939805334,0.0005
40,1.0811419062567196,None,0.0005
41,1.076351331219318,1.2117368281378582,0.0005
42,1.0774546334039325,None,0.0005
43,1.066329635806739,1.3170209848114842,0.00025
44,1.0587497472103007,1.3350810867165026,0.00025
45,1.0650479734230542,None,0.00025
46,1.0651396370291901,None,0.00025
47,1.0668486704479652,None,0.00025
48,1.0609057458291573,None,0.00025
49,1.0652158078569964,1.2384627256204896,0.00025
50,1.066462697743779,None,0.00025
51,1.0598276592492537,None,0.000125
52,1.0586014053364041,1.3053913407113642,0.000125
53,1.0543114183926294,1.3403468452136245,0.000125
54,1.0571539965225485,None,0.000125
55,1.054033048278334,1.3549850354281052,0.000125
56,1.0608406562716937,None,0.000125
57,1.0561475469960808,None,0.000125
58,1.0561371922979337,None,0.000125
59,1.0524871756918277,1.2593496662780912,0.000125
60,1.0539366936919885,None,0.000125
61,1.050632535655697,1.2551772028846049,0.000125
62,1.0539049107462501,None,0.000125
63,1.0547116439022546,None,0.000125
64,1.0513332038010486,None,0.000125
65,1.0517427068782863,None,0.000125
66,1.0550593355385325,None,0.000125
67,1.0526686291400744,None,0.000125
68,1.0535879995286872,None,0.0001
