index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
1,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Ag2BiO3,O1,12,1.636971740000158,5.4695916175842285
2,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Ag2BiO3,O1,13,1.636971740000158,5.4695916175842285
3,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Ag2BiO3,O1,14,1.636971740000158,5.4695916175842285
4,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Ag2BiO3,O1,15,1.636971740000158,5.4695916175842285
5,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,16,5.416601799999976,5.458865642547607
6,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,17,5.416601799999976,5.458866119384766
7,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,18,5.416601799999976,5.458866119384766
8,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,19,5.416601799999976,5.458866119384766
9,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,30,5.416601799999976,5.458866119384766
10,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,31,5.416601799999976,5.458866119384766
11,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,32,5.416601799999976,5.458866119384766
12,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2Ge2O7,O1,33,5.416601799999976,5.458866119384766
13,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2PbO4,O1,12,6.395135430000105,5.3799729347229
14,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2PbO4,O1,13,6.395135430000105,5.3799729347229
15,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2PbO4,O1,20,6.395135430000105,5.3799729347229
16,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al2PbO4,O1,21,6.395135430000105,5.3799729347229
17,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al4Bi2O9,O2,16,7.171021660000301,5.585084438323975
18,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al4Bi2O9,O2,17,7.171021660000301,5.585084438323975
19,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al4Bi2O9,O2,18,7.171021660000301,5.585084438323975
20,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Al4Bi2O9,O2,19,7.171021660000301,5.585084915161133
21,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,6,6.51019906,4.545977592468262
22,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,7,6.51019906,4.545978546142578
23,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,8,6.51019906,4.545978546142578
24,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,9,6.51019906,4.545977592468262
25,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,10,6.51019906,4.545978546142578
26,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,AlCuO2,O1,11,6.51019906,4.545979022979736
27,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2O3,O1,8,3.803732819999718,5.415256977081299
28,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2O3,O1,9,3.803732819999718,5.415256977081299
29,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2O3,O1,10,3.803732819999718,5.415256977081299
30,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2O3,O1,11,3.803732819999718,5.415256977081299
31,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2Pb3O8,O3,18,3.1593086699998683,4.469454288482666
32,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2Pb3O8,O3,19,3.1593086699998683,4.469454288482666
33,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2Pb3O8,O3,20,3.1593086699998683,4.469454288482666
34,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2Pb3O8,O3,21,3.1593086699998683,4.469454288482666
35,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2PbO4,O4,24,4.114966009999998,5.401696681976318
36,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2PbO4,O4,25,4.114966009999998,5.401696681976318
37,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2PbO4,O4,26,4.114966009999998,5.401696681976318
38,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,As2PbO4,O4,27,4.114966009999998,5.401696681976318
39,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,18,3.179896900000026,4.455521583557129
40,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,19,3.179896900000026,4.455521583557129
41,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,20,3.179896900000026,4.455521583557129
42,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,21,3.179896900000026,4.455521583557129
43,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,24,3.179896900000026,4.455521583557129
44,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,25,3.179896900000026,4.455522060394287
45,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,26,3.179896900000026,4.455522060394287
46,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,27,3.179896900000026,4.455521583557129
47,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,30,3.179896900000026,4.455522060394287
48,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,31,3.179896900000026,4.455521583557129
49,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,32,3.179896900000026,4.455521583557129
50,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,33,3.179896900000026,4.455521583557129
51,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,36,3.179896900000026,4.455521583557129
52,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,37,3.179896900000026,4.455521583557129
53,.\S8_compare_data\ovgnn_only_structure\split_by_vacancies\0\trainloss1.0438562056436151_testmaeloss1.0577435131150639_modeldict.pth,Au2O3,O2,38,3.179896900000026,4.455521583557129
