,space_group,filenames,count
0,Pnn2,Ag2BiO3.cif,1
1,P4_32_12,"Ag2HgO2.cif, Na2Zn2O3.cif",2
2,P2_1/c,"AgAuO2.cif, Al2Ca1O4-dataset2-0107269.cif, Al2O9Y4-dataset2-0109092.cif, As2O3.cif, As2Pb3O8.cif, As2PbO4.cif, Ba2Bi2O5.cif, Ba2Fe1O4-dataset2-0169441.cif, Ba2O4Ti1-dataset2-0289663.cif, Ba2TiO4.cif, BaLiBO3.cif, Bi2O3.cif, BiAsO4.cif, BiBO3.cif, Ca2MgWO6.cif, Ca2ScSbO6.cif, Ca2ScTaO6.cif, Cs2BeO2.cif, Cs3AlO3.cif, Cs3GaO3.cif, Cs3InO3.cif, Cs3ScO3.cif, Cs3TlO3.cif, Cs3YO3.cif, Cs6Ge2O7.cif, Cs6Si2O7.cif, HfO2.cif, K2BeO2.cif, K2NaTlO3.cif, K2W2O7.cif, K6Si2O7.cif, LaSbO4.cif, LaTaO4.cif, Li3BO3.cif, LiAgO2.cif, LiBO2.cif, LiSb3O8.cif, LiYO2.cif, LiYSiO4.cif, Mg3(AsO4)2.cif, MgZn2(AsO4)2.cif, Mn1O3Y1-dataset2-0177189.cif, Na2ZnO2.cif, Na3BO3.cif, Na3Sc(BO3)2.cif, NaLa2TaO6.cif, NaSrBO3.cif, PbWO4.cif, Rb3CuO2.cif, Rb3InO3.cif, Rb3TlO3.cif, Rb6Si2O7.cif, Rb6Ti2O7.cif, SbAsO3.cif, Sn5O6.cif, Sr2CaWO6.cif, Sr2CdWO6.cif, Sr2GeO4.cif, Sr2InSbO6.cif, Sr2LaBiO6.cif, Sr2LaSbO6.cif, Sr2NbInO6.cif, Sr2ScSbO6.cif, Sr2ScTaO6.cif, Sr2SiO4.cif, Sr2TaInO6.cif, Sr2YNbO6.cif, Sr2YSbO6.cif, Sr4Cu2O7.cif, SrBiO3.cif, SrCrO4.cif, SrLiBO3.cif, V2Pb3O8.cif, Zn3(AsO4)2.cif, ZrO2.cif",75
3,Ibam,"Al1Ce1O3-dataset2-0289832.cif, Cs2Li3GaO4.cif, K2ZnO2.cif, LiAg3O2.cif, Na3AgO2.cif, NaAg3O2.cif, Rb2Li3GaO4.cif, Rb2MgO2.cif",8
4,Pna2_1,"Al1Fe1O3-dataset2-0113386.cif, BeTlAsO4.cif, CsAlSiO4.cif, CsBeAsO4.cif, KNaGeO3.cif, LiGaO2.cif, NaAlO2.cif, NaGaO2.cif, NbSbO4.cif, RbAlSiO4.cif, SbO2.cif",11
5,R-3c,"Al1La1O3-dataset2-0289874.cif, Al2O3-dataset2-0009540.cif, Al2O3-dataset2-0009576.cif, Al2O3.cif, Ba3NaBiO6.cif, Ba3NaSbO6.cif, Ba3Ni1O4-dataset2-0154647.cif, Ba4PdO6.cif, Ba4PtO6.cif, BaHf(BO3)2.cif, BaZr(BO3)2.cif, Ca3(BO3)2.cif, Ca4PdO6.cif, CsBO2.cif, Fe2O3-dataset2-0009808.cif, Hg3(BO3)2.cif, InBO3.cif, KBO2.cif, NaBO2.cif, NaSr3BiO6.cif, NaSr3NbO6.cif, NaSr3SbO6.cif, NaSr3TaO6.cif, RbBO2.cif, ScBO3.cif, Sr3(BO3)2.cif, Sr3CdPtO6.cif, Sr3LiSbO6.cif, Sr3LiTaO6.cif, Sr3MgPtO6.cif, Sr3ZnPtO6.cif, Sr4PdO6.cif, Sr4PtO6.cif",33
6,C2/m,"Al1Nb1O4-dataset2-0151582.cif, Ba2BiSbO6.cif, Ba2Ca(BO3)2.cif, Ba2Cd(BO3)2.cif, Ba2LaBiO6.cif, Ba2LaTaO6.cif, Ba2TaBiO6.cif, Ba5Co5O14-dataset2-0185107.cif, BaNaBO3.cif, BaTi(AsO4)2.cif, Ca2Sn3O8.cif, CaV2O6.cif, Co1O2-dataset2-0187243.cif, CrPb2O5.cif, Cs2WO4.cif, CsTlO.cif, Fe1Nb1O4-dataset2-0188731.cif, Fe2Ni1O4-dataset2-0011562.cif, Fe3O4-dataset2-0191847.cif, Ga2O3.cif, Ga4GeO8.cif, K2LiVO4.cif, K2MoO4.cif, K2WO4.cif, K3AlO3.cif, K3GaO3.cif, KLa2NbO6.cif, KLiZnO2.cif, KTlO.cif, La1Mn7O12-dataset2-0193122.cif, La2HgO4.cif, La3SbO3.cif, Li2PdO3.cif, Li5AuO4.cif, Li5BiO5.cif, Li5SbO5.cif, Li5TaO5.cif, MgV2O6.cif, Mn5O8-dataset2-0178128.cif, MoPb2O5.cif, NaAgO2.cif, NaAuO2.cif, Nb2O5-dataset2-0290125.cif, NbAlO4.cif, NbGaO4.cif, Rb2CeO3.cif, Rb2MoO4.cif, Rb2WO4.cif, Rb3AlO3.cif, Rb3GaO3.cif, RbTaO3.cif, RbTlO.cif, Sc2Si2O7.cif, Sc2Ti2O7.cif, Si2Hg6O7.cif, Sr(BiO2)2.cif, Sr2Mg(BO3)2.cif, SrAgO2.cif, TaAlO4.cif, TiO2.cif, V2Cd2O7.cif, V2CdO6.cif",62
7,P6_3/mmc,"Al1O3Y1-dataset2-0108689.cif, AlAgO2.cif, Ba1Mn1O3-dataset2-0289618.cif, Ba3BAsO3.cif, Ba3MgSb2O9.cif, Ba3ZnSb2O9.cif, GaCuO2.cif, K3ScSi2O7.cif, LaAgO2.cif, LiNbO2.cif, NaNbO2.cif, RbScO2.cif, ScAgO2.cif, ScCuO2.cif, YAgO2.cif",15
8,P6_3,"Al2Ba1O4-dataset2-0108143.cif, La3BWO9.cif, Tl3AsO4.cif",3
9,Ima2,"Al2Ca2O5-dataset2-0107847.cif, Ba2In2O5-dataset2-0110289.cif, Ba2In2O5.cif, Ba2InGaO5.cif, KSbWO6.cif, RbSbMoO6.cif, TaTlWO6.cif, TlSbWO6.cif",8
