0,1,2
0011304-O1,3.8859,Mn3O4
0178128-O3,3.0486,Mn5O8
0178128-O2,2.7358,Mn5O8
0178128-O4,2.4393,Mn5O8
0178128-O1,2.7217,Mn5O8
0010576-O1,4.4297,Mn1O1
0010438-O1,4.4315,Mn1O1
0011671-O1,2.0859,Mn1O2
0125667-O2,2.145,Mn1O2
0125667-O1,2.7443,Mn1O2
0125741-O3,2.6124,Mn1O2
0125741-O2,2.248,Mn1O2
0125741-O4,2.7197,Mn1O2
0125741-O1,2.0803,Mn1O2
0009808-O1,3.5343,Fe2O3
0191339-O2,3.3922,Fe3O4
0191339-O1,3.3108,Fe3O4
0191847-O2,3.2436,Fe3O4
0191847-O1,3.3361,Fe3O4
0009684-O1,5.0763,Fe1O1
0009648-O1,4.1201,Co3O4
0010389-O1,4.2751,Co1O1
0010528-O1,4.3434,Co1O1
0187243-O1,1.7236,Co1O2
0170770-O1,5.363,Ca1Fe1O2
0117717-O2,4.9227,Ca2Co1O3
0117717-O1,4.0287,Ca2Co1O3
0118499-O3,2.3539,Ca3Co2O6
0118499-O2,2.2547,Ca3Co2O6
0118499-O1,2.3136,Ca3Co2O6
0155087-O3,3.9338,Ca1Co2O4
0155087-O2,3.3239,Ca1Co2O4
0155087-O4,3.5178,Ca1Co2O4
0155087-O1,4.3137,Ca1Co2O4
0126839-O3,1.9142,Mn1O3Sr1
0126839-O2,2.6973,Mn1O3Sr1
0126839-O4,1.9025,Mn1O3Sr1
0126839-O1,2.6833,Mn1O3Sr1
0194281-O2,2.6467,Mn1O4Sr2
0194281-O1,1.8799,Mn1O4Sr2
0145133-O3,3.5082,Mn2O5Sr2
0145133-O2,3.2408,Mn2O5Sr2
0145133-O1,3.162,Mn2O5Sr2
0193429-O3,1.8934,Mn2O7Sr3
0193429-O2,2.5349,Mn2O7Sr3
0193429-O1,1.7739,Mn2O7Sr3
0146652-O3,3.1405,Mn3O10Sr4
0146652-O2,2.2071,Mn3O10Sr4
0146652-O4,2.4631,Mn3O10Sr4
0146652-O1,2.6393,Mn3O10Sr4
0146578-O3,2.5501,Mn3O10Sr4
0146578-O2,2.5645,Mn3O10Sr4
0146578-O4,2.266,Mn3O10Sr4
0146578-O1,3.1606,Mn3O10Sr4
0179730-O6,4.169,Mn4O13Sr7
0179730-O3,3.9847,Mn4O13Sr7
0179730-O5,4.2397,Mn4O13Sr7
0179730-O2,3.8756,Mn4O13Sr7
0179730-O4,4.0549,Mn4O13Sr7
0179730-O7,3.3577,Mn4O13Sr7
0179730-O1,3.7441,Mn4O13Sr7
0147283-O4,3.1348,Mn4O15Sr7
0147283-O8,3.0286,Mn4O15Sr7
0147283-O10,2.1314,Mn4O15Sr7
0147283-O12,3.1718,Mn4O15Sr7
0147283-O13,3.0628,Mn4O15Sr7
0147283-O9,2.1827,Mn4O15Sr7
0147283-O1,3.2517,Mn4O15Sr7
0147283-O7,3.7456,Mn4O15Sr7
0147283-O2,3.1035,Mn4O15Sr7
0147283-O5,2.9128,Mn4O15Sr7
0147283-O3,3.1061,Mn4O15Sr7
0147283-O6,2.7648,Mn4O15Sr7
0147283-O14,3.1187,Mn4O15Sr7
0147283-O11,2.0786,Mn4O15Sr7
0147283-O15,3.0327,Mn4O15Sr7
0142004-O28,3.1738,Fe12O19Sr1
0142004-O9,2.994,Fe12O19Sr1
0142004-O2,3.1421,Fe12O19Sr1
0142004-O20,3.418,Fe12O19Sr1
0142004-O16,3.5072,Fe12O19Sr1
0142004-O4,3.2325,Fe12O19Sr1
0142004-O7,3.315,Fe12O19Sr1
0142004-O1,3.2493,Fe12O19Sr1
0142004-O13,3.3888,Fe12O19Sr1
0142004-O5,3.3618,Fe12O19Sr1
0142004-O12,3.1187,Fe12O19Sr1
0142004-O26,3.4277,Fe12O19Sr1
0142004-O18,3.2754,Fe12O19Sr1
0142004-O10,2.981,Fe12O19Sr1
0142004-O8,3.3198,Fe12O19Sr1
0142004-O15,3.5123,Fe12O19Sr1
0142004-O23,3.1789,Fe12O19Sr1
0142004-O27,3.0073,Fe12O19Sr1
0142004-O25,3.144,Fe12O19Sr1
0142004-O24,3.5529,Fe12O19Sr1
0142004-O3,3.214,Fe12O19Sr1
0142004-O11,3.0625,Fe12O19Sr1
0142004-O19,3.6432,Fe12O19Sr1
0142004-O14,3.5742,Fe12O19Sr1
0142004-O6,3.3139,Fe12O19Sr1
0142004-O17,3.2363,Fe12O19Sr1
0142004-O22,3.0089,Fe12O19Sr1
0142004-O21,3.2641,Fe12O19Sr1
0143474-O3,3.7262,Fe2O5Sr2
0143474-O5,3.4575,Fe2O5Sr2
0143474-O2,3.695,Fe2O5Sr2
0143474-O4,3.674,Fe2O5Sr2
0143474-O1,3.6862,Fe2O5Sr2
0124785-O3,5.4016,Fe2O5Sr3
0124785-O2,4.778,Fe2O5Sr3
