index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
1,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O1,8,3.803732819999718,4.571339130401611
2,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O1,9,3.803732819999718,4.571339130401611
3,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O1,10,3.803732819999718,4.571339130401611
4,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O1,11,3.803732819999718,4.571339130401611
5,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O2,12,3.756670709999876,4.573822975158691
6,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O2,13,3.756670709999876,4.573822975158691
7,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O2,14,3.756670709999876,4.573822975158691
8,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O2,15,3.756670709999876,4.57382345199585
9,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O3,16,3.769753339999976,4.5716376304626465
10,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O3,17,3.769753339999976,4.5716376304626465
11,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O3,18,3.769753339999976,4.5716376304626465
12,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2O3,O3,19,3.769753339999976,4.571637153625488
13,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O1,10,2.7753270799997924,3.2617788314819336
14,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O1,11,2.7753270799997924,3.2617788314819336
15,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O1,12,2.7753270799997924,3.2617788314819336
16,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O1,13,2.7753270799997924,3.2617788314819336
17,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O2,14,3.171433119999969,3.2600789070129395
18,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O2,15,3.171433119999969,3.2600791454315186
19,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O2,16,3.171433119999969,3.2600791454315186
20,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O2,17,3.171433119999969,3.2600791454315186
21,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O3,18,3.1593086699998683,3.2600953578948975
22,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O3,19,3.1593086699998683,3.2600953578948975
23,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O3,20,3.1593086699998683,3.2600953578948975
24,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O3,21,3.1593086699998683,3.2600953578948975
25,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O4,22,2.759128609999957,3.262284517288208
26,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O4,23,2.759128609999957,3.262284517288208
27,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O4,24,2.759128609999957,3.262284278869629
28,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,As2Pb3O8,O4,25,2.759128609999957,3.262284517288208
29,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,6,6.752125390000012,7.399232864379883
30,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,7,6.752125390000012,7.399232864379883
31,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,8,6.752125390000012,7.399232864379883
32,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,12,6.752125390000012,7.399232864379883
33,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,13,6.752125390000012,7.399232864379883
34,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O1,14,6.752125390000012,7.399232864379883
35,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O2,9,6.372273070000015,7.3993425369262695
36,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O2,10,6.372273070000015,7.3993425369262695
37,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,B2O3,O2,11,6.372273070000015,7.3993425369262695
38,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,12,4.776888760000029,4.760262489318848
39,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,13,4.776888760000029,4.760262489318848
40,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,14,4.776888760000029,4.760262489318848
41,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,15,4.776888760000029,4.760262489318848
42,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,16,4.776888760000029,4.760262489318848
43,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,17,4.776888760000029,4.760262489318848
44,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,18,4.776888760000029,4.760262489318848
45,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(CuO)2,O1,19,4.776888760000029,4.760262489318848
46,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,3,4.173887470000077,4.213717460632324
47,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,4,4.173887470000077,4.213717460632324
48,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,5,4.173887470000077,4.213717460632324
49,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,6,4.173887470000077,4.213717460632324
50,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,7,4.173887470000077,4.213717460632324
51,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba(SbO3)2,O1,8,4.173887470000077,4.213717460632324
52,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,16,3.96521736000012,2.9395782947540283
53,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,17,3.96521736000012,2.9395782947540283
54,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,18,3.96521736000012,2.9395782947540283
55,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,19,3.96521736000012,2.9395782947540283
56,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,20,3.96521736000012,2.9395782947540283
57,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,21,3.96521736000012,2.939578056335449
58,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,22,3.96521736000012,2.9395782947540283
59,.\result_GPU\split_by_compounds\0\trainloss0.3137366980547323_testmaeloss0.5238281972917582_modeldict.pth,Ba2CePtO6,O1,23,3.96521736000012,2.9395782947540283
