index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre,test_elements_numbers
1,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O1,12,1.636971740000158,5.420236587524414,2
2,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O1,13,1.636971740000158,5.420236587524414,2
3,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O1,14,1.636971740000158,5.420236587524414,2
4,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O1,15,1.636971740000158,5.420236587524414,2
5,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O2,16,2.3498697200001377,5.426743984222412,2
6,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O2,17,2.3498697200001377,5.426743507385254,2
7,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O2,18,2.3498697200001377,5.426743984222412,2
8,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O2,19,2.3498697200001377,5.426743984222412,2
9,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O3,20,2.222248000000386,5.42697286605835,2
10,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O3,21,2.222248000000386,5.426973342895508,2
11,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O3,22,2.222248000000386,5.426972389221191,2
12,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2BiO3,O3,23,2.222248000000386,5.426973342895508,2
13,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,12,1.7423184099999478,5.572816848754883,2
14,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,13,1.7423184099999478,5.572816371917725,2
15,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,14,1.7423184099999478,5.572815895080566,2
16,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,15,1.7423184099999478,5.572815895080566,2
17,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,16,1.7423184099999478,5.572816848754883,2
18,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,17,1.7423184099999478,5.572815895080566,2
19,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,18,1.7423184099999478,5.572815895080566,2
20,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Ag2HgO2,O1,19,1.7423184099999478,5.572816371917725,2
21,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AgAuO2,O1,4,2.31297225999999,4.859316349029541,2
22,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AgAuO2,O1,5,2.31297225999999,4.859316825866699,2
23,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AgAuO2,O1,6,2.31297225999999,4.859316825866699,2
24,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AgAuO2,O1,7,2.31297225999999,4.859316825866699,2
25,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,16,5.416601799999976,5.1648054122924805,2
26,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,17,5.416601799999976,5.1648054122924805,2
27,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,18,5.416601799999976,5.1648054122924805,2
28,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,19,5.416601799999976,5.1648054122924805,2
29,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,30,5.416601799999976,5.1648054122924805,2
30,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,31,5.416601799999976,5.1648054122924805,2
31,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,32,5.416601799999976,5.1648054122924805,2
32,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O1,33,5.416601799999976,5.1648054122924805,2
