index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre
1,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Ag2BiO3,O1,12,1.636971740000158,2.3021023273468018
2,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Ag2BiO3,O1,13,1.636971740000158,2.3021023273468018
3,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Ag2BiO3,O1,14,1.636971740000158,2.3021020889282227
4,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Ag2BiO3,O1,15,1.636971740000158,2.3021023273468018
5,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,16,5.416601799999976,4.4869537353515625
6,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,17,5.416601799999976,4.4869537353515625
7,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,18,5.416601799999976,4.4869537353515625
8,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,19,5.416601799999976,4.4869537353515625
9,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,30,5.416601799999976,4.4869537353515625
10,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,31,5.416601799999976,4.4869537353515625
11,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,32,5.416601799999976,4.4869537353515625
12,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2Ge2O7,O1,33,5.416601799999976,4.4869537353515625
13,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2PbO4,O1,12,6.395135430000105,6.716971397399902
14,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2PbO4,O1,13,6.395135430000105,6.716971397399902
15,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2PbO4,O1,20,6.395135430000105,6.716971397399902
16,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al2PbO4,O1,21,6.395135430000105,6.716971397399902
17,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al4Bi2O9,O2,16,7.171021660000301,6.0376081466674805
18,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al4Bi2O9,O2,17,7.171021660000301,6.0376081466674805
19,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al4Bi2O9,O2,18,7.171021660000301,6.0376081466674805
20,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,Al4Bi2O9,O2,19,7.171021660000301,6.0376081466674805
21,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,6,6.51019906,6.464264869689941
22,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,7,6.51019906,6.464264392852783
23,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,8,6.51019906,6.464264869689941
24,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,9,6.51019906,6.464264869689941
25,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,10,6.51019906,6.464264869689941
26,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,AlCuO2,O1,11,6.51019906,6.464264869689941
27,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,As2O3,O1,8,3.803732819999718,4.396740913391113
28,.\result_GPU\split_by_vacancies\0\trainloss0.305839523056732_testmaeloss0.47129014170800654_modeldict.pth,As2O3,O1,9,3.803732819999718,4.396740913391113
